image_id,product_identity,split,cv_fold
kaggle_fake_real_medicine_f4ed8cc19a,pid_00483,train,2
kaggle_fake_real_medicine_506ede5841,pid_00484,val,
kaggle_fake_real_medicine_25387c207b,pid_00485,train,3
kaggle_fake_real_medicine_000e488d37,pid_00486,train,4
kaggle_fake_real_medicine_270967078e,pid_00487,train,0
kaggle_fake_real_medicine_e4d1e5b8f5,pid_00488,test,
kaggle_fake_real_medicine_8bee079fd4,pid_00489,train,4
kaggle_fake_real_medicine_22d308b24a,pid_00490,val,
kaggle_fake_real_medicine_234a3dbd69,pid_00491,train,4
kaggle_fake_real_medicine_974bfcd4fb,pid_00492,val,
kaggle_fake_real_medicine_032068ff32,pid_00493,train,2
kaggle_fake_real_medicine_9abd16be2c,pid_00494,train,1
kaggle_fake_real_medicine_98d158b5a6,pid_00495,train,3
kaggle_fake_real_medicine_b18a8265f3,pid_00496,train,1
kaggle_fake_real_medicine_dbde84d79d,pid_00497,train,2
kaggle_fake_real_medicine_3bf4bb75f4,pid_00498,train,4
kaggle_fake_real_medicine_f0cae78738,pid_00499,train,0
kaggle_fake_real_medicine_4e37e908bb,pid_00500,train,2
kaggle_fake_real_medicine_da2df27cc4,pid_00501,train,4
kaggle_fake_real_medicine_012f2d2f27,pid_00502,train,4
kaggle_fake_real_medicine_8fd20d7ff6,pid_00503,test,
kaggle_fake_real_medicine_78cf259e7e,pid_00504,train,4
kaggle_fake_real_medicine_a9fbc36030,pid_00505,train,1
kaggle_fake_real_medicine_e8f66141b9,pid_00506,train,2
kaggle_fake_real_medicine_423916758c,pid_00507,test,
kaggle_fake_real_medicine_fb41370788,pid_00508,train,0
kaggle_fake_real_medicine_56baf2ccf3,pid_00509,train,1
kaggle_fake_real_medicine_8084abfeac,pid_00510,train,2
kaggle_fake_real_medicine_24e0fae4e3,pid_00511,train,2
kaggle_fake_real_medicine_680234b7cf,pid_00512,train,1
kaggle_fake_real_medicine_13f55e7bae,pid_00513,train,4
kaggle_fake_real_medicine_12a224b226,pid_00514,val,
kaggle_fake_real_medicine_96200fd98f,pid_00515,train,2
kaggle_fake_real_medicine_0bd80c0685,pid_00516,val,
kaggle_fake_real_medicine_a6073ba2ac,pid_00517,train,1
kaggle_fake_real_medicine_84a5c72682,pid_00518,train,4
kaggle_fake_real_medicine_eb34751b20,pid_00519,val,
kaggle_fake_real_medicine_04c5e557b8,pid_00520,test,
kaggle_fake_real_medicine_99dc72e0c5,pid_00521,test,
kaggle_fake_real_medicine_6bf967cf84,pid_00522,test,
kaggle_fake_real_medicine_4d4cf4a7d4,pid_00523,train,0
kaggle_fake_real_medicine_0328be33cf,pid_00524,train,0
kaggle_fake_real_medicine_657978f2b5,pid_00525,test,
kaggle_fake_real_medicine_edd956a181,pid_00526,train,2
kaggle_fake_real_medicine_f61949b1d3,pid_00527,test,
kaggle_fake_real_medicine_a8e282a356,pid_00528,train,3
kaggle_fake_real_medicine_a7da985656,pid_00529,train,4
kaggle_fake_real_medicine_c3c3d47e1c,pid_00530,val,
kaggle_fake_real_medicine_87cff291d4,pid_00531,test,
kaggle_fake_real_medicine_089048438e,pid_00532,train,2
kaggle_fake_real_medicine_8f4cadab06,pid_00533,val,
kaggle_fake_real_medicine_c2c11d3bdd,pid_00534,train,0
kaggle_fake_real_medicine_c8e1ccb599,pid_00535,test,
kaggle_fake_real_medicine_2bf66badab,pid_00499,train,0
kaggle_fake_real_medicine_e7b0b553a2,pid_00536,test,
kaggle_fake_real_medicine_62fb730310,pid_00497,train,2
kaggle_fake_real_medicine_9d0ac488eb,pid_00537,train,0
kaggle_fake_real_medicine_8e01740418,pid_00538,train,2
kaggle_fake_real_medicine_a7129b711b,pid_00539,train,3
kaggle_fake_real_medicine_b332587f57,pid_00540,val,
kaggle_fake_real_medicine_7019b8e00b,pid_00541,val,
kaggle_fake_real_medicine_26d1582ee3,pid_00542,train,3
kaggle_fake_real_medicine_7b74b77c17,pid_00543,train,0
kaggle_fake_real_medicine_1dbf78ab67,pid_00544,train,1
kaggle_fake_real_medicine_e0787b76d6,pid_00455,train,0
kaggle_fake_real_medicine_2fb956eb5f,pid_00545,train,1
kaggle_fake_real_medicine_41708c1798,pid_00546,train,1
kaggle_fake_real_medicine_e1c5225193,pid_00547,train,2
kaggle_fake_real_medicine_93e23b7ec2,pid_00548,train,2
kaggle_fake_real_medicine_eae6b71ab1,pid_00549,train,0
kaggle_fake_real_medicine_9c31a23b9a,pid_00550,train,0
kaggle_fake_real_medicine_c81ed5b421,pid_00551,train,2
kaggle_fake_real_medicine_06940a3932,pid_00552,train,0
kaggle_fake_real_medicine_ad95e5821c,pid_00553,train,4
kaggle_fake_real_medicine_e7ed41a132,pid_00554,test,
kaggle_fake_real_medicine_e6c7f05541,pid_00555,val,
kaggle_fake_real_medicine_036597d7b3,pid_00556,train,3
kaggle_fake_real_medicine_01b3ab801c,pid_00557,val,
kaggle_fake_real_medicine_8ebb9a5eba,pid_00558,train,2
kaggle_fake_real_medicine_0876d989f5,pid_00559,val,
kaggle_fake_real_medicine_584654950e,pid_00560,train,3
kaggle_fake_real_medicine_e833313f43,pid_00561,train,0
kaggle_fake_real_medicine_d8e6635430,pid_00562,train,1
kaggle_fake_real_medicine_347e282f41,pid_00563,train,2
kaggle_fake_real_medicine_b94b13518f,pid_00564,train,1
kaggle_fake_real_medicine_b1b14a8a60,pid_00565,val,
kaggle_fake_real_medicine_afdedb67c8,pid_00566,train,1
kaggle_fake_real_medicine_2883b7e45b,pid_00567,train,4
kaggle_fake_real_medicine_abbb61cce5,pid_00568,train,1
kaggle_fake_real_medicine_f77e826fc2,pid_00569,train,3
kaggle_fake_real_medicine_f20b141abd,pid_00570,train,4
kaggle_fake_real_medicine_af054412f5,pid_00571,train,3
kaggle_fake_real_medicine_4581f49ec4,pid_00572,train,2
kaggle_fake_real_medicine_828e34ae84,pid_00573,train,3
kaggle_fake_real_medicine_10200a9a29,pid_00574,train,2
kaggle_fake_real_medicine_a52f4729ef,pid_00575,train,3
kaggle_fake_real_medicine_c316aa2e72,pid_00576,train,2
kaggle_fake_real_medicine_7b8afa42b4,pid_00576,train,2
kaggle_fake_real_medicine_702b301e99,pid_00577,train,0
kaggle_fake_real_medicine_8883b37d74,pid_00578,train,3
kaggle_fake_real_medicine_745c17f03e,pid_00579,train,4
kaggle_fake_real_medicine_f8ee1fba3f,pid_00580,train,3
kaggle_fake_real_medicine_32d9b40ac6,pid_00581,train,3
kaggle_fake_real_medicine_6a0d82961a,pid_00582,test,
kaggle_fake_real_medicine_c16bf3536a,pid_00583,val,
kaggle_fake_real_medicine_2f4f6735e2,pid_00584,test,
kaggle_fake_real_medicine_78e572ee28,pid_00585,test,
kaggle_fake_real_medicine_bd0cfe0cb4,pid_00586,val,
kaggle_fake_real_medicine_b98d6afd80,pid_00587,train,1
kaggle_fake_real_medicine_a0fa4531d3,pid_00588,train,3
kaggle_fake_real_medicine_8713e32afa,pid_00589,test,
kaggle_fake_real_medicine_3bdedf3bd4,pid_00590,train,1
kaggle_fake_real_medicine_9747a801ed,pid_00591,train,3
kaggle_fake_real_medicine_259d2e2e43,pid_00592,train,3
kaggle_fake_real_medicine_12842db162,pid_00593,train,2
kaggle_fake_real_medicine_11467496c6,pid_00594,train,0
kaggle_fake_real_medicine_c261f83794,pid_00595,train,3
kaggle_fake_real_medicine_375a6dabfd,pid_00596,train,4
kaggle_fake_real_medicine_50444f4c85,pid_00597,train,2
kaggle_fake_real_medicine_6c48c2b073,pid_00598,train,4
kaggle_fake_real_medicine_030573fd98,pid_00599,train,0
kaggle_fake_real_medicine_61643b3aef,pid_00600,val,
kaggle_fake_real_medicine_d4758e32c8,pid_00601,train,1
kaggle_fake_real_medicine_f0e9f37ae0,pid_00602,val,
kaggle_fake_real_medicine_00b0378aeb,pid_00603,test,
kaggle_fake_real_medicine_589075e46a,pid_00604,train,1
kaggle_fake_real_medicine_a31563869e,pid_00605,train,3
kaggle_fake_real_medicine_5d72b67a63,pid_00606,val,
kaggle_fake_real_medicine_8ee3b228c9,pid_00607,train,2
kaggle_fake_real_medicine_4838ecb268,pid_00608,train,0
kaggle_fake_real_medicine_cbe26aa03b,pid_00609,train,2
kaggle_fake_real_medicine_7b30644c5b,pid_00610,train,3
kaggle_fake_real_medicine_e560d3d930,pid_00611,train,2
kaggle_fake_real_medicine_4f839114d5,pid_00612,train,4
kaggle_fake_real_medicine_012dbfbc36,pid_00613,train,3
kaggle_fake_real_medicine_7b470e559a,pid_00614,train,0
kaggle_fake_real_medicine_2101e29cad,pid_00615,train,2
kaggle_fake_real_medicine_079f320fd3,pid_00613,train,3
kaggle_fake_real_medicine_48ac2ce440,pid_00616,train,2
kaggle_fake_real_medicine_25654c7f24,pid_00617,val,
kaggle_fake_real_medicine_8d48cabbe1,pid_00618,train,3
kaggle_fake_real_medicine_112dc1a750,pid_00619,train,0
kaggle_fake_real_medicine_d799f1d48c,pid_00620,train,2
kaggle_fake_real_medicine_7c0daeaa30,pid_00621,test,
kaggle_fake_real_medicine_4a172a5783,pid_00622,train,1
kaggle_fake_real_medicine_edbb207b2e,pid_00623,test,
kaggle_fake_real_medicine_08ba7974f3,pid_00624,train,0
kaggle_fake_real_medicine_b70df6e629,pid_00625,val,
kaggle_fake_real_medicine_2eadeabb23,pid_00626,train,4
kaggle_fake_real_medicine_005ffbaf2f,pid_00627,train,0
kaggle_fake_real_medicine_9d267b5e7c,pid_00628,train,1
kaggle_fake_real_medicine_d34b172d99,pid_00629,val,
kaggle_fake_real_medicine_27f3e0a05e,pid_00630,val,
kaggle_fake_real_medicine_f412adfac6,pid_00631,train,4
kaggle_fake_real_medicine_a5c91851cb,pid_00632,train,4
kaggle_fake_real_medicine_625c4e1122,pid_00633,train,4
kaggle_fake_real_medicine_f62a70d32b,pid_00634,train,4
kaggle_fake_real_medicine_431e9ec70d,pid_00635,test,
kaggle_fake_real_medicine_d97567946f,pid_00636,train,4
kaggle_fake_real_medicine_b54b7ff396,pid_00637,train,1
kaggle_fake_real_medicine_d0e874750d,pid_00638,test,
kaggle_fake_real_medicine_85cc0519d6,pid_00639,train,2
kaggle_fake_real_medicine_12c43a7eaa,pid_00640,train,3
kaggle_fake_real_medicine_d740f92d0d,pid_00641,train,1
kaggle_fake_real_medicine_ffe122a56c,pid_00642,train,3
kaggle_fake_real_medicine_845ee248b9,pid_00601,train,1
kaggle_fake_real_medicine_b26f3d1fe0,pid_00643,test,
kaggle_fake_real_medicine_02169db735,pid_00644,test,
kaggle_fake_real_medicine_cc88c993f0,pid_00645,val,
kaggle_fake_real_medicine_da9f2b55ac,pid_00646,test,
kaggle_fake_real_medicine_3a04e11088,pid_00007,train,0
kaggle_fake_real_medicine_779c1196eb,pid_00405,train,0
kaggle_fake_real_medicine_10225ffb67,pid_00239,val,
kaggle_fake_real_medicine_22aa194522,pid_00406,train,1
kaggle_fake_real_medicine_44fd0f757a,pid_00105,train,3
kaggle_fake_real_medicine_bcdf79c558,pid_00203,train,2
kaggle_fake_real_medicine_65a1725371,pid_00223,train,0
kaggle_fake_real_medicine_811363f6de,pid_00124,train,0
kaggle_fake_real_medicine_93d7311fc9,pid_00159,train,1
kaggle_fake_real_medicine_fd039f994c,pid_00239,val,
kaggle_fake_real_medicine_788dd6b226,pid_00385,train,4
kaggle_fake_real_medicine_1fb3ce9b13,pid_00309,train,1
kaggle_fake_real_medicine_2132e7ceb4,pid_00016,test,
kaggle_fake_real_medicine_cb3b65a489,pid_00309,train,1
kaggle_fake_real_medicine_d276dd4088,pid_00365,train,4
kaggle_fake_real_medicine_15bd27eba4,pid_00376,train,1
kaggle_fake_real_medicine_6f072f285c,pid_00220,train,3
kaggle_fake_real_medicine_097d8595eb,pid_00074,train,2
kaggle_fake_real_medicine_8ab00bce96,pid_00062,test,
kaggle_fake_real_medicine_ec12cfda16,pid_00095,train,0
kaggle_fake_real_medicine_d3c6fa2ded,pid_00391,train,1
kaggle_fake_real_medicine_e7d479caa3,pid_00082,train,1
kaggle_fake_real_medicine_0e4fbd29c5,pid_00373,train,3
kaggle_fake_real_medicine_bc3f3f4d6a,pid_00068,val,
kaggle_fake_real_medicine_1761000c09,pid_00220,train,3
kaggle_fake_real_medicine_63bc3c7d29,pid_00398,test,
kaggle_fake_real_medicine_af7e1cb823,pid_00171,train,4
kaggle_fake_real_medicine_393b5f4602,pid_00186,val,
kaggle_fake_real_medicine_40c7abeb62,pid_00191,train,1
kaggle_fake_real_medicine_aee89a8f04,pid_00131,test,
kaggle_fake_real_medicine_5c5acf8bbd,pid_00358,train,2
kaggle_fake_real_medicine_be2c540b63,pid_00024,train,2
kaggle_fake_real_medicine_cc1c50541a,pid_00168,train,0
kaggle_fake_real_medicine_eded2385a3,pid_00090,train,0
kaggle_fake_real_medicine_d2635ccf33,pid_00120,train,1
kaggle_fake_real_medicine_ff8bb608ba,pid_00647,test,
kaggle_fake_real_medicine_88e760ec67,pid_00648,train,4
kaggle_fake_real_medicine_48b77d4b79,pid_00034,train,1
kaggle_fake_real_medicine_21720344fd,pid_00061,train,3
kaggle_fake_real_medicine_a0fd053475,pid_00649,train,2
kaggle_fake_real_medicine_47ef3972b2,pid_00001,train,0
kaggle_fake_real_medicine_e59a892262,pid_00650,train,0
kaggle_fake_real_medicine_3eb2fc376e,pid_00248,train,3
kaggle_fake_real_medicine_c10951a964,pid_00392,train,0
kaggle_fake_real_medicine_895c45b293,pid_00182,train,0
kaggle_fake_real_medicine_163b95ff77,pid_00400,val,
kaggle_fake_real_medicine_bf3ebad111,pid_00061,train,3
kaggle_fake_real_medicine_d6cfd57100,pid_00386,train,4
kaggle_fake_real_medicine_5914cbca30,pid_00001,train,0
kaggle_fake_real_medicine_2df01fd6a7,pid_00651,val,
kaggle_fake_real_medicine_3e84e186df,pid_00652,train,4
kaggle_fake_real_medicine_e6863a1b30,pid_00201,train,4
kaggle_fake_real_medicine_ea41431d21,pid_00277,val,
kaggle_fake_real_medicine_3baea330b8,pid_00031,train,2
kaggle_fake_real_medicine_30ea2d910c,pid_00102,train,4
kaggle_fake_real_medicine_65d087cfbb,pid_00377,train,2
kaggle_fake_real_medicine_d63a3f8849,pid_00160,train,2
kaggle_fake_real_medicine_562e07a19f,pid_00369,train,2
kaggle_fake_real_medicine_70cdac1306,pid_00072,train,1
kaggle_fake_real_medicine_54689e6460,pid_00019,train,0
kaggle_fake_real_medicine_2dd077811c,pid_00183,train,2
kaggle_fake_real_medicine_898366a687,pid_00027,train,3
kaggle_fake_real_medicine_3f1d338410,pid_00653,val,
kaggle_fake_real_medicine_dc3993fda4,pid_00094,train,2
kaggle_fake_real_medicine_091c494ecf,pid_00654,train,2
kaggle_fake_real_medicine_47ae255318,pid_00655,train,3
kaggle_fake_real_medicine_c44a75d8f8,pid_00656,test,
kaggle_fake_real_medicine_27d07dc99e,pid_00657,train,2
kaggle_fake_real_medicine_7f56d83a9f,pid_00107,train,2
kaggle_fake_real_medicine_090a07494d,pid_00253,train,4
kaggle_fake_real_medicine_c3a9245fc7,pid_00658,train,4
kaggle_fake_real_medicine_f57956b7d9,pid_00659,test,
kaggle_fake_real_medicine_ef75337a14,pid_00660,train,4
kaggle_fake_real_medicine_17675193fc,pid_00126,test,
kaggle_fake_real_medicine_c0f5cceee8,pid_00389,train,4
kaggle_fake_real_medicine_ef1ae610a6,pid_00040,train,1
kaggle_fake_real_medicine_30517f4e2f,pid_00018,test,
kaggle_fake_real_medicine_3069cf426e,pid_00113,val,
kaggle_fake_real_medicine_9dac883126,pid_00661,train,2
kaggle_fake_real_medicine_1c18e06090,pid_00662,val,
kaggle_fake_real_medicine_23f9ab233c,pid_00363,test,
kaggle_fake_real_medicine_77084dd8f1,pid_00364,train,1
kaggle_fake_real_medicine_07c1f58abd,pid_00354,train,0
kaggle_fake_real_medicine_c6a07c9eb4,pid_00190,train,2
kaggle_fake_real_medicine_c4c9b1741a,pid_00150,test,
kaggle_fake_real_medicine_ff5a2e775f,pid_00393,train,4
kaggle_fake_real_medicine_6d89951497,pid_00145,train,1
kaggle_fake_real_medicine_206e0e85c6,pid_00299,train,4
kaggle_fake_real_medicine_33b1a93842,pid_00064,test,
kaggle_fake_real_medicine_edcc3c3143,pid_00663,train,4
kaggle_fake_real_medicine_bebec028a3,pid_00664,train,0
kaggle_fake_real_medicine_74a661dac3,pid_00665,train,0
kaggle_fake_real_medicine_39d4f4c626,pid_00666,test,
kaggle_fake_real_medicine_63cd8b80df,pid_00284,val,
kaggle_fake_real_medicine_92c018207d,pid_00667,train,0
kaggle_fake_real_medicine_6e9b1afdc8,pid_00668,train,3
kaggle_fake_real_medicine_d5eb39581a,pid_00669,train,1
kaggle_fake_real_medicine_a8786eab14,pid_00414,train,3
kaggle_fake_real_medicine_6134763660,pid_00364,train,1
kaggle_fake_real_medicine_fc089361eb,pid_00670,train,4
kaggle_fake_real_medicine_3a353638dd,pid_00402,train,1
kaggle_fake_real_medicine_8cb4cbdda1,pid_00269,train,0
kaggle_fake_real_medicine_69380164fc,pid_00303,train,1
kaggle_fake_real_medicine_d6620e5f3d,pid_00671,val,
kaggle_fake_real_medicine_95e18e95c4,pid_00403,test,
kaggle_fake_real_medicine_983a5ad5ee,pid_00359,train,3
kaggle_fake_real_medicine_a4a572b09a,pid_00672,test,
kaggle_fake_real_medicine_79e456adb5,pid_00247,val,
kaggle_fake_real_medicine_b7d27bf9c8,pid_00673,train,2
kaggle_fake_real_medicine_a5db8402c3,pid_00101,train,0
kaggle_fake_real_medicine_e820f60a77,pid_00674,train,4
kaggle_fake_real_medicine_a430fcbb79,pid_00675,train,0
kaggle_fake_real_medicine_01e4e1d6d6,pid_00676,test,
kaggle_fake_real_medicine_0b5fcdf5de,pid_00677,train,3
kaggle_fake_real_medicine_d01124d05c,pid_00678,train,2
kaggle_fake_real_medicine_98abc79a1f,pid_00073,test,
kaggle_fake_real_medicine_651e0f0a85,pid_00142,train,3
kaggle_fake_real_medicine_0c82ad12c5,pid_00006,val,
kaggle_fake_real_medicine_4760d382d1,pid_00074,train,2
kaggle_fake_real_medicine_0ef14de6d2,pid_00039,train,4
kaggle_fake_real_medicine_d1265ddcbd,pid_00397,train,0
kaggle_fake_real_medicine_7a68815b9b,pid_00356,train,4
kaggle_fake_real_medicine_6d4f727882,pid_00679,val,
kaggle_fake_real_medicine_5322bc4ec3,pid_00680,train,4
kaggle_fake_real_medicine_b98a85d09c,pid_00097,val,
kaggle_fake_real_medicine_f7458d4cd8,pid_00012,train,0
kaggle_fake_real_medicine_3845e77d89,pid_00681,test,
kaggle_fake_real_medicine_247ecd4994,pid_00682,test,
kaggle_fake_real_medicine_e9f169b3d8,pid_00683,train,3
kaggle_fake_real_medicine_b714580e6b,pid_00684,train,1
kaggle_fake_real_medicine_ca5bc0dac8,pid_00685,val,
kaggle_fake_real_medicine_d437febf42,pid_00686,train,3
kaggle_fake_real_medicine_bb91f40451,pid_00687,val,
kaggle_fake_real_medicine_fc393de9c2,pid_00688,val,
kaggle_fake_real_medicine_6b9bb704af,pid_00689,train,3
kaggle_fake_real_medicine_a9944ece10,pid_00690,train,2
kaggle_fake_real_medicine_8adaecea99,pid_00691,train,2
kaggle_fake_real_medicine_c5bfaa546a,pid_00692,train,2
kaggle_fake_real_medicine_e503454d41,pid_00693,train,1
kaggle_fake_real_medicine_4fcc86b614,pid_00135,test,
kaggle_fake_real_medicine_debe5dc6f5,pid_00694,train,0
kaggle_fake_real_medicine_fd79efc55c,pid_00695,train,2
kaggle_fake_real_medicine_0d6c0cec82,pid_00680,train,4
kaggle_fake_real_medicine_e7219cbc9d,pid_00696,train,1
kaggle_fake_real_medicine_b1e4bc1d13,pid_00083,train,1
kaggle_fake_real_medicine_0e5c6674ac,pid_00366,train,4
kaggle_fake_real_medicine_6bda05ca54,pid_00097,val,
kaggle_fake_real_medicine_cd59615cfe,pid_00683,train,3
kaggle_fake_real_medicine_34759d3aff,pid_00697,train,2
kaggle_fake_real_medicine_bf7cc7e301,pid_00698,train,3
kaggle_fake_real_medicine_50d898328e,pid_00092,train,2
kaggle_fake_real_medicine_627585c336,pid_00699,val,
kaggle_fake_real_medicine_36670914db,pid_00110,train,3
kaggle_fake_real_medicine_ef4bd64707,pid_00012,train,0
kaggle_fake_real_medicine_1df50870ca,pid_00700,test,
kaggle_fake_real_medicine_3db3ffd711,pid_00701,train,0
kaggle_fake_real_medicine_28623dc5d3,pid_00702,train,4
kaggle_fake_real_medicine_f0d335f51a,pid_00703,train,4
kaggle_fake_real_medicine_188e0dcabe,pid_00092,train,2
kaggle_fake_real_medicine_8b91640ed8,pid_00097,val,
kaggle_fake_real_medicine_960b0a0e1f,pid_00388,test,
kaggle_fake_real_medicine_d9868033be,pid_00026,train,4
kaggle_fake_real_medicine_cd5e5e7124,pid_00230,val,
kaggle_fake_real_medicine_b02526af81,pid_00275,train,2
kaggle_fake_real_medicine_92bbb36447,pid_00361,train,3
kaggle_fake_real_medicine_b7dabf39ff,pid_00704,train,1
kaggle_fake_real_medicine_28eb803e0f,pid_00362,test,
kaggle_fake_real_medicine_51e4cdba65,pid_00129,test,
kaggle_fake_real_medicine_fc15974a00,pid_00705,train,2
kaggle_fake_real_medicine_c7404298d4,pid_00104,train,1
kaggle_fake_real_medicine_d850d8b22d,pid_00699,val,
kaggle_fake_real_medicine_67b01e63ae,pid_00103,train,1
kaggle_fake_real_medicine_3d60fe1980,pid_00706,train,0
kaggle_fake_real_medicine_7e0914619a,pid_00394,train,3
kaggle_fake_real_medicine_6b129e49a0,pid_00135,test,
kaggle_fake_real_medicine_db083d21fd,pid_00383,train,1
kaggle_fake_real_medicine_1c2176cbfd,pid_00025,val,
kaggle_fake_real_medicine_fb273df5b9,pid_00409,train,1
kaggle_fake_real_medicine_077563b376,pid_00707,val,
kaggle_fake_real_medicine_9bcfb18427,pid_00367,train,1
kaggle_fake_real_medicine_71d5cc700b,pid_00708,train,4
kaggle_fake_real_medicine_d04b0fc4a5,pid_00648,train,4
kaggle_fake_real_medicine_e390352f04,pid_00263,val,
kaggle_fake_real_medicine_d491fa0f15,pid_00709,train,1
kaggle_fake_real_medicine_85674a9efd,pid_00010,train,2
kaggle_fake_real_medicine_7df3596d02,pid_00001,train,0
kaggle_fake_real_medicine_a5b0f12046,pid_00710,train,3
kaggle_fake_real_medicine_9f1c62d7f7,pid_00098,train,1
kaggle_fake_real_medicine_fb6eba5f37,pid_00711,train,1
kaggle_fake_real_medicine_713faf6038,pid_00407,val,
kaggle_fake_real_medicine_6ea9d947e6,pid_00370,test,
kaggle_fake_real_medicine_50281df9ba,pid_00712,train,0
kaggle_fake_real_medicine_7f2e2f16ab,pid_00713,train,1
kaggle_fake_real_medicine_ed97c2b4a0,pid_00714,train,0
kaggle_fake_real_medicine_95182d0829,pid_00715,train,3
kaggle_fake_real_medicine_b083b75233,pid_00045,val,
kaggle_fake_real_medicine_f183243f66,pid_00716,train,3
kaggle_fake_real_medicine_64892427cd,pid_00717,train,0
kaggle_fake_real_medicine_8b88b9e618,pid_00412,test,
kaggle_fake_real_medicine_97b7ba7093,pid_00261,val,
kaggle_fake_real_medicine_70c0c79496,pid_00084,val,
kaggle_fake_real_medicine_6985b98bf9,pid_00718,train,1
kaggle_fake_real_medicine_4a4c49b22a,pid_00195,train,1
kaggle_fake_real_medicine_578b78be70,pid_00068,val,
kaggle_fake_real_medicine_f73305e65f,pid_00131,test,
kaggle_fake_real_medicine_87a04fc40a,pid_00210,train,4
