condition,image_id,predicted_class,correct,prob_counterfeit,border_mass_fraction,centre_mass_fraction
baseline,mendeley_split_c_00069,counterfeit,0,0.7793,0.1297,0.5932
baseline,mendeley_split_c_00070,counterfeit,0,0.9335,0.1027,0.6438
baseline,mendeley_split_c_00071,counterfeit,0,0.9114,0.2096,0.5382
baseline,mendeley_split_c_00072,counterfeit,0,0.9977,0.1534,0.5869
baseline,mendeley_split_c_00073,counterfeit,0,0.974,0.3037,0.4339
baseline,mendeley_split_c_00074,counterfeit,0,0.8393,0.0508,0.7237
baseline,mendeley_split_c_00075,counterfeit,0,0.715,0.0811,0.6641
baseline,mendeley_split_c_00076,counterfeit,0,0.9864,0.1453,0.599
baseline,mendeley_split_c_00077,counterfeit,0,0.9344,0.2525,0.4567
baseline,mendeley_split_c_00078,counterfeit,0,0.9502,0.0827,0.6653
baseline,mendeley_split_c_00079,counterfeit,0,0.5624,0.1381,0.6013
baseline,mendeley_split_c_00080,counterfeit,0,0.581,0.165,0.5376
baseline,mendeley_split_c_00081,counterfeit,0,0.9984,0.1277,0.6041
baseline,mendeley_split_c_00082,counterfeit,0,0.9954,0.1843,0.4995
baseline,mendeley_split_c_00083,counterfeit,0,0.9827,0.1567,0.5962
baseline,mendeley_split_c_00084,counterfeit,0,0.9869,0.1594,0.5533
baseline,mendeley_split_c_00085,counterfeit,0,0.782,0.113,0.6514
baseline,mendeley_split_c_00086,counterfeit,0,0.9078,0.0764,0.6761
baseline,mendeley_split_c_00087,counterfeit,0,0.8412,0.0455,0.7411
baseline,mendeley_split_c_00088,authentic,1,0.1458,0.7183,0.1298
baseline,mendeley_split_c_00089,counterfeit,0,0.8303,0.1786,0.5401
baseline,mendeley_split_c_00090,counterfeit,0,0.899,0.246,0.4462
baseline,mendeley_split_c_00091,counterfeit,0,0.9931,0.147,0.5947
baseline,mendeley_split_c_00092,counterfeit,0,0.6432,0.1928,0.4666
baseline,mendeley_split_c_00093,counterfeit,0,0.8977,0.0747,0.6872
baseline,mendeley_split_c_00094,counterfeit,0,0.5821,0.1039,0.6605
baseline,mendeley_split_c_00095,counterfeit,0,0.5481,0.2734,0.4312
baseline,mendeley_split_c_00096,counterfeit,0,0.9881,0.065,0.7352
baseline,mendeley_split_c_00097,counterfeit,0,0.943,0.2872,0.4136
baseline,mendeley_split_c_00098,counterfeit,0,0.5712,0.0677,0.684
baseline,mendeley_split_c_00099,counterfeit,0,0.9975,0.3387,0.3161
baseline,mendeley_split_c_00100,counterfeit,0,0.5731,0.2482,0.4277
baseline,mendeley_split_c_00101,counterfeit,0,0.8959,0.2131,0.4959
baseline,mendeley_split_c_00102,counterfeit,0,0.8036,0.0898,0.6645
baseline,mendeley_split_c_00103,authentic,1,0.4902,0.7892,0.0656
baseline,mendeley_split_c_00104,counterfeit,0,0.9949,0.0908,0.6517
baseline,mendeley_split_c_00105,counterfeit,0,0.724,0.2151,0.5195
baseline,mendeley_split_c_00106,counterfeit,0,0.9845,0.2352,0.4758
baseline,mendeley_split_c_00107,counterfeit,0,0.9049,0.0863,0.6847
baseline,mendeley_split_c_00108,counterfeit,0,0.6202,0.0379,0.7466
baseline,mendeley_split_c_00109,counterfeit,0,0.8062,0.2241,0.4889
baseline,mendeley_split_c_00110,counterfeit,0,0.9967,0.2216,0.5038
baseline,mendeley_split_c_00111,counterfeit,0,0.7246,0.0849,0.6668
baseline,mendeley_split_c_00112,counterfeit,0,0.9572,0.1025,0.6262
baseline,mendeley_split_c_00113,counterfeit,0,0.9263,0.1111,0.6679
baseline,mendeley_split_c_00114,counterfeit,0,0.9003,0.27,0.4047
baseline,mendeley_split_c_00115,authentic,1,0.4187,0.7586,0.0831
baseline,mendeley_split_c_00116,counterfeit,0,0.9063,0.2187,0.5154
baseline,mendeley_split_c_00117,counterfeit,0,0.952,0.3774,0.2866
baseline,mendeley_split_c_00118,counterfeit,0,0.6734,0.0279,0.7829
baseline,mendeley_split_c_00119,counterfeit,0,0.759,0.1018,0.6366
baseline,mendeley_split_c_00120,counterfeit,0,0.8512,0.1488,0.5787
baseline,mendeley_split_c_00121,counterfeit,0,0.7891,0.0961,0.6519
baseline,mendeley_split_c_00122,counterfeit,0,0.6852,0.1388,0.5737
baseline,mendeley_split_c_00123,counterfeit,0,0.9333,0.1359,0.5949
baseline,mendeley_split_c_00124,counterfeit,0,0.9216,0.1788,0.5166
baseline,mendeley_split_c_00125,counterfeit,0,0.9539,0.1369,0.5747
baseline,mendeley_split_c_00126,counterfeit,0,0.8758,0.1054,0.6112
baseline,mendeley_split_c_00127,counterfeit,0,0.965,0.1143,0.6252
baseline,mendeley_split_c_00128,authentic,1,0.219,0.7082,0.0755
baseline,mendeley_split_c_00129,counterfeit,0,0.9654,0.0437,0.7476
baseline,mendeley_split_c_00130,authentic,1,0.2998,0.7313,0.083
baseline,mendeley_split_c_00131,counterfeit,0,0.9739,0.1379,0.609
baseline,mendeley_split_c_00132,counterfeit,0,0.9939,0.1816,0.5123
baseline,mendeley_split_c_00133,counterfeit,0,0.6821,0.1019,0.6332
baseline,mendeley_split_c_00134,counterfeit,0,0.9791,0.0773,0.6736
baseline,mendeley_split_c_00135,counterfeit,0,0.9323,0.1573,0.5264
baseline,mendeley_split_c_00136,counterfeit,0,0.8744,0.2197,0.476
baseline,mendeley_split_c_00137,authentic,1,0.4715,0.8023,0.0501
baseline,mendeley_split_c_00138,counterfeit,0,0.998,0.1567,0.5416
baseline,mendeley_split_c_00139,counterfeit,0,0.9361,0.0574,0.703
baseline,mendeley_split_c_00140,counterfeit,0,0.9952,0.2544,0.4709
baseline,mendeley_split_c_00141,counterfeit,0,0.8778,0.2637,0.459
baseline,mendeley_split_c_00142,counterfeit,0,0.908,0.1852,0.5574
baseline,mendeley_split_c_00143,counterfeit,0,0.984,0.164,0.5251
baseline,mendeley_split_c_00144,counterfeit,0,0.6682,0.1661,0.5715
baseline,mendeley_split_c_00145,counterfeit,0,0.5161,0.0415,0.7408
baseline,mendeley_split_c_00146,counterfeit,0,0.9932,0.1739,0.534
baseline,mendeley_split_c_00147,counterfeit,0,0.9914,0.1273,0.5957
baseline,mendeley_split_c_00148,counterfeit,0,0.6066,0.0527,0.7215
baseline,mendeley_split_c_00149,counterfeit,0,0.9463,0.1367,0.668
normalised,mendeley_split_c_00000,authentic,1,0.1165,0.7888,0.0324
normalised,mendeley_split_c_00001,authentic,1,0.4176,0.7878,0.0645
normalised,mendeley_split_c_00002,counterfeit,0,0.5651,0.2851,0.4318
normalised,mendeley_split_c_00003,authentic,1,0.004,0.69,0.0737
normalised,mendeley_split_c_00004,authentic,1,0.1967,0.7088,0.1333
normalised,mendeley_split_c_00005,authentic,1,0.4733,0.791,0.024
normalised,mendeley_split_c_00006,authentic,1,0.1508,0.7429,0.0947
normalised,mendeley_split_c_00007,authentic,1,0.2026,0.8282,0.064
normalised,mendeley_split_c_00008,authentic,1,0.4192,0.89,0.0095
normalised,mendeley_split_c_00009,authentic,1,0.1144,0.8443,0.0155
normalised,mendeley_split_c_00010,authentic,1,0.1425,0.7723,0.0489
normalised,mendeley_split_c_00011,counterfeit,0,0.8356,0.1629,0.5799
normalised,mendeley_split_c_00012,authentic,1,0.0262,0.6459,0.0982
normalised,mendeley_split_c_00013,authentic,1,0.2821,0.8351,0.0149
normalised,mendeley_split_c_00014,authentic,1,0.381,0.8539,0.0132
normalised,mendeley_split_c_00015,authentic,1,0.2294,0.8149,0.0209
normalised,mendeley_split_c_00016,authentic,1,0.438,0.6313,0.1319
normalised,mendeley_split_c_00017,authentic,1,0.3676,0.8006,0.0223
normalised,mendeley_split_c_00018,authentic,1,0.0713,0.6424,0.1233
normalised,mendeley_split_c_00019,authentic,1,0.1383,0.7951,0.0706
normalised,mendeley_split_c_00020,authentic,1,0.3509,0.7463,0.0999
normalised,mendeley_split_c_00021,authentic,1,0.0918,0.7289,0.0629
normalised,mendeley_split_c_00022,authentic,1,0.3175,0.8785,0.0098
normalised,mendeley_split_c_00023,authentic,1,0.3982,0.7775,0.0566
normalised,mendeley_split_c_00024,authentic,1,0.0365,0.7127,0.0717
normalised,mendeley_split_c_00025,authentic,1,0.4004,0.798,0.065
normalised,mendeley_split_c_00026,authentic,1,0.0403,0.6833,0.0891
normalised,mendeley_split_c_00027,authentic,1,0.2571,0.7943,0.0675
normalised,mendeley_split_c_00028,authentic,1,0.1034,0.6717,0.1547
normalised,mendeley_split_c_00029,authentic,1,0.4808,0.6472,0.2071
normalised,mendeley_split_c_00030,authentic,1,0.281,0.7792,0.0267
normalised,mendeley_split_c_00031,authentic,1,0.0716,0.7601,0.0613
normalised,mendeley_split_c_00032,counterfeit,0,0.5004,0.0,0.8728
normalised,mendeley_split_c_00033,counterfeit,0,0.9035,0.224,0.5058
normalised,mendeley_split_c_00034,authentic,1,0.0326,0.7845,0.0432
normalised,mendeley_split_c_00035,counterfeit,0,0.7695,0.3071,0.4914
normalised,mendeley_split_c_00036,counterfeit,0,0.5594,0.0322,0.7672
normalised,mendeley_split_c_00037,authentic,1,0.1207,0.7859,0.037
normalised,mendeley_split_c_00038,counterfeit,0,0.512,0.0048,0.8273
normalised,mendeley_split_c_00039,authentic,1,0.2724,0.7844,0.0469
normalised,mendeley_split_c_00040,counterfeit,0,0.7736,0.134,0.5825
normalised,mendeley_split_c_00041,authentic,1,0.3848,0.8909,0.0148
normalised,mendeley_split_c_00042,authentic,1,0.3242,0.8253,0.0158
normalised,mendeley_split_c_00043,authentic,1,0.1403,0.8093,0.0336
normalised,mendeley_split_c_00044,authentic,1,0.1097,0.8133,0.0619
normalised,mendeley_split_c_00045,counterfeit,0,0.7527,0.1438,0.5763
normalised,mendeley_split_c_00046,authentic,1,0.2948,0.8757,0.0175
normalised,mendeley_split_c_00047,authentic,1,0.3202,0.8168,0.0389
normalised,mendeley_split_c_00048,authentic,1,0.0877,0.7707,0.0376
normalised,mendeley_split_c_00049,authentic,1,0.3077,0.8324,0.0467
normalised,mendeley_split_c_00050,authentic,1,0.4897,0.8416,0.0159
normalised,mendeley_split_c_00051,authentic,1,0.3334,0.8259,0.028
normalised,mendeley_split_c_00052,authentic,1,0.1322,0.7124,0.0888
normalised,mendeley_split_c_00053,authentic,1,0.1381,0.8039,0.0657
normalised,mendeley_split_c_00054,counterfeit,0,0.5455,0.107,0.6305
normalised,mendeley_split_c_00055,authentic,1,0.0348,0.7759,0.0493
normalised,mendeley_split_c_00056,authentic,1,0.0114,0.7047,0.0798
normalised,mendeley_split_c_00057,authentic,1,0.0613,0.7985,0.0362
normalised,mendeley_split_c_00058,counterfeit,0,0.6612,0.1601,0.5194
normalised,mendeley_split_c_00059,authentic,1,0.2874,0.8406,0.0196
normalised,mendeley_split_c_00060,counterfeit,0,0.5993,0.0307,0.7549
normalised,mendeley_split_c_00061,counterfeit,0,0.79,0.1089,0.6165
normalised,mendeley_split_c_00062,authentic,1,0.2028,0.6614,0.151
normalised,mendeley_split_c_00063,counterfeit,0,0.5395,0.1986,0.52
normalised,mendeley_split_c_00064,authentic,1,0.0247,0.6539,0.1231
normalised,mendeley_split_c_00065,authentic,1,0.1434,0.8949,0.0086
normalised,mendeley_split_c_00066,authentic,1,0.0545,0.8092,0.0337
normalised,mendeley_split_c_00067,authentic,1,0.0078,0.652,0.1064
normalised,mendeley_split_c_00068,authentic,1,0.0648,0.7149,0.0867
normalised,mendeley_split_c_00069,authentic,1,0.0181,0.6419,0.1155
normalised,mendeley_split_c_00070,authentic,1,0.1022,0.7484,0.0491
normalised,mendeley_split_c_00071,counterfeit,0,0.7418,0.0814,0.6646
normalised,mendeley_split_c_00072,counterfeit,0,0.511,0.055,0.727
normalised,mendeley_split_c_00073,authentic,1,0.1421,0.8095,0.0389
normalised,mendeley_split_c_00074,authentic,1,0.1372,0.8411,0.0153
normalised,mendeley_split_c_00075,authentic,1,0.0499,0.6863,0.1237
normalised,mendeley_split_c_00076,counterfeit,0,0.7358,0.0988,0.6523
normalised,mendeley_split_c_00077,authentic,1,0.4498,0.8013,0.0414
normalised,mendeley_split_c_00078,counterfeit,0,0.5355,0.0547,0.7406
normalised,mendeley_split_c_00079,authentic,1,0.0216,0.7489,0.0795
normalised,mendeley_split_c_00080,authentic,1,0.405,0.8774,0.0111
normalised,mendeley_split_c_00081,authentic,1,0.3184,0.841,0.015
normalised,mendeley_split_c_00082,counterfeit,0,0.5997,0.1279,0.5819
normalised,mendeley_split_c_00083,counterfeit,0,0.7953,0.1811,0.5643
normalised,mendeley_split_c_00084,authentic,1,0.1464,0.8877,0.0088
normalised,mendeley_split_c_00085,authentic,1,0.3879,0.7019,0.0783
normalised,mendeley_split_c_00086,authentic,1,0.0558,0.867,0.011
normalised,mendeley_split_c_00087,authentic,1,0.0234,0.6971,0.0989
normalised,mendeley_split_c_00088,authentic,1,0.0433,0.8195,0.0386
normalised,mendeley_split_c_00089,authentic,1,0.3956,0.9341,0.0052
normalised,mendeley_split_c_00090,authentic,1,0.2541,0.6933,0.1692
normalised,mendeley_split_c_00091,authentic,1,0.4256,0.9034,0.0076
normalised,mendeley_split_c_00092,authentic,1,0.1571,0.8505,0.0175
normalised,mendeley_split_c_00093,authentic,1,0.0576,0.7594,0.0404
normalised,mendeley_split_c_00094,authentic,1,0.1067,0.7708,0.0362
normalised,mendeley_split_c_00095,authentic,1,0.1112,0.7092,0.1058
normalised,mendeley_split_c_00096,authentic,1,0.2567,0.8799,0.0103
normalised,mendeley_split_c_00097,counterfeit,0,0.7941,0.456,0.2526
normalised,mendeley_split_c_00098,authentic,1,0.1322,0.7711,0.0355
normalised,mendeley_split_c_00099,counterfeit,0,0.8047,0.2479,0.4198
normalised,mendeley_split_c_00100,authentic,1,0.0236,0.6933,0.1185
normalised,mendeley_split_c_00101,authentic,1,0.1243,0.8504,0.029
normalised,mendeley_split_c_00102,authentic,1,0.054,0.5433,0.208
normalised,mendeley_split_c_00103,authentic,1,0.1167,0.7998,0.0212
normalised,mendeley_split_c_00104,authentic,1,0.4972,0.8658,0.012
normalised,mendeley_split_c_00105,counterfeit,0,0.5028,0.1994,0.499
normalised,mendeley_split_c_00106,authentic,1,0.4059,0.8736,0.0188
normalised,mendeley_split_c_00107,authentic,1,0.0504,0.7052,0.0845
normalised,mendeley_split_c_00108,authentic,1,0.0363,0.7305,0.0699
normalised,mendeley_split_c_00109,authentic,1,0.2842,0.7369,0.1099
normalised,mendeley_split_c_00110,counterfeit,0,0.6556,0.0679,0.6974
normalised,mendeley_split_c_00111,authentic,1,0.0963,0.8081,0.042
normalised,mendeley_split_c_00112,authentic,1,0.1553,0.8454,0.0168
normalised,mendeley_split_c_00113,authentic,1,0.2253,0.8067,0.038
normalised,mendeley_split_c_00114,authentic,1,0.2825,0.8915,0.0175
normalised,mendeley_split_c_00115,authentic,1,0.2603,0.7972,0.0209
normalised,mendeley_split_c_00116,authentic,1,0.2128,0.7075,0.092
normalised,mendeley_split_c_00117,authentic,1,0.4705,0.8338,0.0329
normalised,mendeley_split_c_00118,counterfeit,0,0.5872,0.269,0.413
normalised,mendeley_split_c_00119,authentic,1,0.4987,0.7532,0.0697
normalised,mendeley_split_c_00120,authentic,1,0.0806,0.8085,0.0397
normalised,mendeley_split_c_00121,authentic,1,0.0186,0.675,0.107
normalised,mendeley_split_c_00122,authentic,1,0.0104,0.5097,0.2421
normalised,mendeley_split_c_00123,authentic,1,0.0709,0.7111,0.0723
normalised,mendeley_split_c_00124,authentic,1,0.2143,0.9007,0.0119
normalised,mendeley_split_c_00125,authentic,1,0.1194,0.7956,0.0731
normalised,mendeley_split_c_00126,authentic,1,0.3241,0.8515,0.0284
normalised,mendeley_split_c_00127,authentic,1,0.1793,0.8602,0.0131
normalised,mendeley_split_c_00128,authentic,1,0.0643,0.756,0.0595
normalised,mendeley_split_c_00129,authentic,1,0.145,0.692,0.0998
normalised,mendeley_split_c_00130,counterfeit,0,0.5156,0.0739,0.7102
normalised,mendeley_split_c_00131,authentic,1,0.1629,0.8664,0.0147
normalised,mendeley_split_c_00132,counterfeit,0,0.7433,0.1114,0.5847
normalised,mendeley_split_c_00133,authentic,1,0.2604,0.8812,0.0099
normalised,mendeley_split_c_00134,authentic,1,0.0647,0.7664,0.0445
normalised,mendeley_split_c_00135,authentic,1,0.2051,0.8444,0.0328
normalised,mendeley_split_c_00136,authentic,1,0.2397,0.5635,0.2992
normalised,mendeley_split_c_00137,authentic,1,0.0189,0.6215,0.1927
normalised,mendeley_split_c_00138,counterfeit,0,0.8086,0.0941,0.6553
normalised,mendeley_split_c_00139,authentic,1,0.2266,0.8391,0.0159
normalised,mendeley_split_c_00140,authentic,1,0.1547,0.8809,0.0302
normalised,mendeley_split_c_00141,authentic,1,0.1744,0.8526,0.0291
normalised,mendeley_split_c_00142,authentic,1,0.0649,0.799,0.0453
normalised,mendeley_split_c_00143,authentic,1,0.0584,0.8267,0.0169
normalised,mendeley_split_c_00144,authentic,1,0.2746,0.7417,0.0881
normalised,mendeley_split_c_00145,authentic,1,0.0585,0.6535,0.1392
normalised,mendeley_split_c_00146,authentic,1,0.1725,0.8627,0.0143
normalised,mendeley_split_c_00147,counterfeit,0,0.5277,0.1555,0.5404
normalised,mendeley_split_c_00148,authentic,1,0.1261,0.7813,0.057
normalised,mendeley_split_c_00149,authentic,1,0.1069,0.7254,0.077
