model,image_id,predicted,correct,prob_authentic,border_mass_fraction,centre_mass_fraction
model3_mobilenetv3small_frozen,mendeley_split_c_00077,counterfeit,0,0.2367,0.9724,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00078,authentic,1,0.8411,0.6574,0.1486
model3_mobilenetv3small_frozen,mendeley_split_c_00079,authentic,1,0.8846,0.802,0.0238
model3_mobilenetv3small_frozen,mendeley_split_c_00080,authentic,1,0.9498,0.9454,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00081,counterfeit,0,0.3702,0.917,0.0102
model3_mobilenetv3small_frozen,mendeley_split_c_00082,counterfeit,0,0.4932,0.9566,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00083,authentic,1,0.6276,0.7946,0.0934
model3_mobilenetv3small_frozen,mendeley_split_c_00084,authentic,1,0.5285,0.9682,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00085,authentic,1,0.6644,0.8982,0.0578
model3_mobilenetv3small_frozen,mendeley_split_c_00086,authentic,1,0.946,0.5526,0.3454
model3_mobilenetv3small_frozen,mendeley_split_c_00087,authentic,1,0.986,0.814,0.035
model3_mobilenetv3small_frozen,mendeley_split_c_00088,authentic,1,0.9225,0.8797,0.009
model3_mobilenetv3small_frozen,mendeley_split_c_00089,counterfeit,0,0.4711,0.886,0.036
model3_mobilenetv3small_frozen,mendeley_split_c_00090,authentic,1,0.9847,0.7731,0.0647
model3_mobilenetv3small_frozen,mendeley_split_c_00091,authentic,1,0.5965,0.9712,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00092,authentic,1,0.9577,0.8639,0.0095
model3_mobilenetv3small_frozen,mendeley_split_c_00093,authentic,1,0.9675,0.8956,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00094,authentic,1,0.9145,0.8886,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00095,authentic,1,0.5494,0.9077,0.0111
model3_mobilenetv3small_frozen,mendeley_split_c_00096,counterfeit,0,0.3641,0.926,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00097,authentic,1,0.6607,0.8553,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00098,authentic,1,0.9881,0.79,0.0477
model3_mobilenetv3small_frozen,mendeley_split_c_00099,counterfeit,0,0.3778,0.9433,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00100,counterfeit,0,0.4247,0.7475,0.1077
model3_mobilenetv3small_frozen,mendeley_split_c_00101,counterfeit,0,0.3976,0.8312,0.0627
model3_mobilenetv3small_frozen,mendeley_split_c_00102,authentic,1,0.9607,0.6876,0.1055
model3_mobilenetv3small_frozen,mendeley_split_c_00103,authentic,1,0.9895,0.8004,0.0444
model3_mobilenetv3small_frozen,mendeley_split_c_00104,authentic,1,0.8704,0.7203,0.086
model3_mobilenetv3small_frozen,mendeley_split_c_00105,counterfeit,0,0.3293,0.6438,0.1987
model3_mobilenetv3small_frozen,mendeley_split_c_00106,counterfeit,0,0.2857,0.6275,0.2536
model3_mobilenetv3small_frozen,mendeley_split_c_00107,authentic,1,0.9901,0.6813,0.0731
model3_mobilenetv3small_frozen,mendeley_split_c_00108,authentic,1,0.9049,0.6943,0.185
model3_mobilenetv3small_frozen,mendeley_split_c_00109,authentic,1,0.605,0.773,0.0878
model3_mobilenetv3small_frozen,mendeley_split_c_00110,counterfeit,0,0.3974,0.9166,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00111,authentic,1,0.7761,0.8151,0.0307
model3_mobilenetv3small_frozen,mendeley_split_c_00112,authentic,1,0.8798,0.5448,0.3151
model3_mobilenetv3small_frozen,mendeley_split_c_00113,authentic,1,0.7458,0.6134,0.1781
model3_mobilenetv3small_frozen,mendeley_split_c_00114,counterfeit,0,0.3531,0.8197,0.0665
model3_mobilenetv3small_frozen,mendeley_split_c_00115,authentic,1,0.8111,0.9356,0.0007
model3_mobilenetv3small_frozen,mendeley_split_c_00116,authentic,1,0.5368,0.5484,0.2883
model3_mobilenetv3small_frozen,mendeley_split_c_00117,authentic,1,0.6591,0.5494,0.2295
model3_mobilenetv3small_frozen,mendeley_split_c_00118,authentic,1,0.9559,0.5185,0.2143
model3_mobilenetv3small_frozen,mendeley_split_c_00119,counterfeit,0,0.4671,0.8923,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00120,authentic,1,0.9019,0.7274,0.1112
model3_mobilenetv3small_frozen,mendeley_split_c_00121,authentic,1,0.9072,0.8693,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00122,authentic,1,0.9767,0.7469,0.0597
model3_mobilenetv3small_frozen,mendeley_split_c_00123,authentic,1,0.8003,0.713,0.1052
model3_mobilenetv3small_frozen,mendeley_split_c_00124,authentic,1,0.8478,0.7373,0.1132
model3_mobilenetv3small_frozen,mendeley_split_c_00125,authentic,1,0.9546,0.8661,0.0093
model3_mobilenetv3small_frozen,mendeley_split_c_00126,authentic,1,0.8449,0.8499,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00127,authentic,1,0.9686,0.7795,0.0673
model3_mobilenetv3small_frozen,mendeley_split_c_00128,authentic,1,0.9484,0.9554,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00129,authentic,1,0.9834,0.5485,0.2286
model3_mobilenetv3small_frozen,mendeley_split_c_00130,authentic,1,0.7923,0.7329,0.061
model3_mobilenetv3small_frozen,mendeley_split_c_00131,authentic,1,0.7248,0.8808,0.0224
model3_mobilenetv3small_frozen,mendeley_split_c_00132,counterfeit,0,0.238,0.9609,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00133,authentic,1,0.9665,0.8002,0.038
model3_mobilenetv3small_frozen,mendeley_split_c_00134,authentic,1,0.9885,0.8836,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00135,counterfeit,0,0.2356,0.9228,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00136,authentic,1,0.9512,0.5597,0.2851
model3_mobilenetv3small_frozen,mendeley_split_c_00137,authentic,1,0.9004,0.9063,0.0244
model3_mobilenetv3small_frozen,mendeley_split_c_00138,authentic,1,0.7257,0.6344,0.1799
model3_mobilenetv3small_frozen,mendeley_split_c_00139,authentic,1,0.8517,0.7998,0.0458
model3_mobilenetv3small_frozen,mendeley_split_c_00140,counterfeit,0,0.2337,0.9785,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00141,authentic,1,0.5941,0.9165,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00142,authentic,1,0.945,0.9462,0.0121
model3_mobilenetv3small_frozen,mendeley_split_c_00143,authentic,1,0.9105,0.5729,0.3522
model3_mobilenetv3small_frozen,mendeley_split_c_00144,authentic,1,0.9343,0.7862,0.0372
model3_mobilenetv3small_frozen,mendeley_split_c_00145,authentic,1,0.7647,0.9718,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00146,counterfeit,0,0.3889,0.9477,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00147,authentic,1,0.948,0.7722,0.0245
model3_mobilenetv3small_frozen,mendeley_split_c_00148,authentic,1,0.9979,0.6604,0.1268
model3_mobilenetv3small_frozen,mendeley_split_c_00149,authentic,1,0.8078,0.7075,0.097
model4_efficientnetb0_frozen,mendeley_split_c_00000,authentic,1,0.8835,0.6932,0.1306
model4_efficientnetb0_frozen,mendeley_split_c_00001,authentic,1,0.5824,0.542,0.2977
model4_efficientnetb0_frozen,mendeley_split_c_00002,counterfeit,0,0.4349,0.8987,0.0333
model4_efficientnetb0_frozen,mendeley_split_c_00003,authentic,1,0.996,0.5596,0.2177
model4_efficientnetb0_frozen,mendeley_split_c_00004,authentic,1,0.8033,0.6185,0.1202
model4_efficientnetb0_frozen,mendeley_split_c_00005,authentic,1,0.5267,0.7831,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00006,authentic,1,0.8492,0.8102,0.0727
model4_efficientnetb0_frozen,mendeley_split_c_00007,authentic,1,0.7974,0.7933,0.0878
model4_efficientnetb0_frozen,mendeley_split_c_00008,authentic,1,0.5808,0.6412,0.1133
model4_efficientnetb0_frozen,mendeley_split_c_00009,authentic,1,0.8856,0.4898,0.3375
model4_efficientnetb0_frozen,mendeley_split_c_00010,authentic,1,0.8575,0.5172,0.2589
model4_efficientnetb0_frozen,mendeley_split_c_00011,counterfeit,0,0.1644,0.8053,0.0237
model4_efficientnetb0_frozen,mendeley_split_c_00012,authentic,1,0.9738,0.5926,0.1286
model4_efficientnetb0_frozen,mendeley_split_c_00013,authentic,1,0.7179,0.6621,0.0916
model4_efficientnetb0_frozen,mendeley_split_c_00014,authentic,1,0.619,0.7564,0.0739
model4_efficientnetb0_frozen,mendeley_split_c_00015,authentic,1,0.7706,0.4619,0.2915
model4_efficientnetb0_frozen,mendeley_split_c_00016,authentic,1,0.562,0.3998,0.3633
model4_efficientnetb0_frozen,mendeley_split_c_00017,authentic,1,0.6324,0.6349,0.088
model4_efficientnetb0_frozen,mendeley_split_c_00018,authentic,1,0.9287,0.4624,0.3226
model4_efficientnetb0_frozen,mendeley_split_c_00019,authentic,1,0.8617,0.5202,0.2742
model4_efficientnetb0_frozen,mendeley_split_c_00020,authentic,1,0.6491,0.5954,0.1613
model4_efficientnetb0_frozen,mendeley_split_c_00021,authentic,1,0.9082,0.6522,0.1284
model4_efficientnetb0_frozen,mendeley_split_c_00022,authentic,1,0.6825,0.8591,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00023,authentic,1,0.6018,0.4818,0.2645
model4_efficientnetb0_frozen,mendeley_split_c_00024,authentic,1,0.9635,0.6111,0.1642
model4_efficientnetb0_frozen,mendeley_split_c_00025,authentic,1,0.5996,0.4266,0.316
model4_efficientnetb0_frozen,mendeley_split_c_00026,authentic,1,0.9597,0.4893,0.223
model4_efficientnetb0_frozen,mendeley_split_c_00027,authentic,1,0.7429,0.4501,0.286
model4_efficientnetb0_frozen,mendeley_split_c_00028,authentic,1,0.8966,0.4454,0.3277
model4_efficientnetb0_frozen,mendeley_split_c_00029,authentic,1,0.5192,0.2583,0.5394
model4_efficientnetb0_frozen,mendeley_split_c_00030,authentic,1,0.719,0.6684,0.0894
model4_efficientnetb0_frozen,mendeley_split_c_00031,authentic,1,0.9284,0.3652,0.3739
model4_efficientnetb0_frozen,mendeley_split_c_00032,counterfeit,0,0.4996,0.6887,0.1004
model4_efficientnetb0_frozen,mendeley_split_c_00033,counterfeit,0,0.0965,0.8714,0.031
model4_efficientnetb0_frozen,mendeley_split_c_00034,authentic,1,0.9674,0.4092,0.3831
model4_efficientnetb0_frozen,mendeley_split_c_00035,counterfeit,0,0.2305,0.4304,0.3689
model4_efficientnetb0_frozen,mendeley_split_c_00036,counterfeit,0,0.4406,0.7775,0.0341
model4_efficientnetb0_frozen,mendeley_split_c_00037,authentic,1,0.8793,0.6729,0.1188
model4_efficientnetb0_frozen,mendeley_split_c_00038,counterfeit,0,0.488,0.4589,0.1234
model4_efficientnetb0_frozen,mendeley_split_c_00039,authentic,1,0.7277,0.8068,0.0235
model4_efficientnetb0_frozen,mendeley_split_c_00040,counterfeit,0,0.2264,0.848,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00041,authentic,1,0.6152,0.4944,0.2951
model4_efficientnetb0_frozen,mendeley_split_c_00042,authentic,1,0.6758,0.5767,0.2283
model4_efficientnetb0_frozen,mendeley_split_c_00043,authentic,1,0.8597,0.748,0.0713
model4_efficientnetb0_frozen,mendeley_split_c_00044,authentic,1,0.8903,0.8673,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00045,counterfeit,0,0.2473,0.8376,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00046,authentic,1,0.7052,0.7682,0.0545
model4_efficientnetb0_frozen,mendeley_split_c_00047,authentic,1,0.6798,0.7522,0.0617
model4_efficientnetb0_frozen,mendeley_split_c_00048,authentic,1,0.9123,0.4263,0.3656
model4_efficientnetb0_frozen,mendeley_split_c_00049,authentic,1,0.6923,0.759,0.0203
model4_efficientnetb0_frozen,mendeley_split_c_00050,authentic,1,0.5103,0.3825,0.3708
model4_efficientnetb0_frozen,mendeley_split_c_00051,authentic,1,0.6666,0.8543,0.0022
model4_efficientnetb0_frozen,mendeley_split_c_00052,authentic,1,0.8678,0.7877,0.0952
model4_efficientnetb0_frozen,mendeley_split_c_00053,authentic,1,0.8619,0.7733,0.0092
model4_efficientnetb0_frozen,mendeley_split_c_00054,counterfeit,0,0.4545,1.0,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00055,authentic,1,0.9652,0.8744,0.0209
model4_efficientnetb0_frozen,mendeley_split_c_00056,authentic,1,0.9886,0.6701,0.07
model4_efficientnetb0_frozen,mendeley_split_c_00057,authentic,1,0.9387,0.5738,0.2023
model4_efficientnetb0_frozen,mendeley_split_c_00058,counterfeit,0,0.3388,0.8183,0.0188
model4_efficientnetb0_frozen,mendeley_split_c_00059,authentic,1,0.7126,0.735,0.0619
model4_efficientnetb0_frozen,mendeley_split_c_00060,counterfeit,0,0.4007,0.7998,0.0395
model4_efficientnetb0_frozen,mendeley_split_c_00061,counterfeit,0,0.21,0.7808,0.0651
model4_efficientnetb0_frozen,mendeley_split_c_00062,authentic,1,0.7972,0.2999,0.4508
model4_efficientnetb0_frozen,mendeley_split_c_00063,counterfeit,0,0.4605,0.7103,0.1272
model4_efficientnetb0_frozen,mendeley_split_c_00064,authentic,1,0.9753,0.4011,0.3404
model4_efficientnetb0_frozen,mendeley_split_c_00065,authentic,1,0.8566,0.6096,0.2046
model4_efficientnetb0_frozen,mendeley_split_c_00066,authentic,1,0.9455,0.6301,0.2184
model4_efficientnetb0_frozen,mendeley_split_c_00067,authentic,1,0.9922,0.4825,0.2472
model4_efficientnetb0_frozen,mendeley_split_c_00068,authentic,1,0.9352,0.5229,0.2002
model4_efficientnetb0_frozen,mendeley_split_c_00069,authentic,1,0.9819,0.5294,0.1982
model4_efficientnetb0_frozen,mendeley_split_c_00070,authentic,1,0.8978,0.6268,0.0948
model4_efficientnetb0_frozen,mendeley_split_c_00071,counterfeit,0,0.2582,0.8329,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00072,counterfeit,0,0.489,1.0,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00073,authentic,1,0.8579,0.8751,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00074,authentic,1,0.8628,0.5912,0.1622
model4_efficientnetb0_frozen,mendeley_split_c_00075,authentic,1,0.9501,0.3122,0.45
model4_efficientnetb0_frozen,mendeley_split_c_00076,counterfeit,0,0.2642,0.9509,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00077,authentic,1,0.5502,0.7547,0.0821
model4_efficientnetb0_frozen,mendeley_split_c_00078,counterfeit,0,0.4645,1.0,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00079,authentic,1,0.9784,0.5192,0.2917
model4_efficientnetb0_frozen,mendeley_split_c_00080,authentic,1,0.595,0.7009,0.1477
model4_efficientnetb0_frozen,mendeley_split_c_00081,authentic,1,0.6816,0.7767,0.0883
model4_efficientnetb0_frozen,mendeley_split_c_00082,counterfeit,0,0.4003,0.8792,0.0021
model4_efficientnetb0_frozen,mendeley_split_c_00083,counterfeit,0,0.2047,0.8755,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00084,authentic,1,0.8536,0.7147,0.1882
model4_efficientnetb0_frozen,mendeley_split_c_00085,authentic,1,0.6121,0.6819,0.126
model4_efficientnetb0_frozen,mendeley_split_c_00086,authentic,1,0.9442,0.8377,0.0801
model4_efficientnetb0_frozen,mendeley_split_c_00087,authentic,1,0.9766,0.6126,0.1559
model4_efficientnetb0_frozen,mendeley_split_c_00088,authentic,1,0.9567,0.1497,0.6581
model4_efficientnetb0_frozen,mendeley_split_c_00089,authentic,1,0.6044,0.8515,0.1305
model4_efficientnetb0_frozen,mendeley_split_c_00090,authentic,1,0.7459,0.4081,0.391
model4_efficientnetb0_frozen,mendeley_split_c_00091,authentic,1,0.5744,0.7442,0.1069
model4_efficientnetb0_frozen,mendeley_split_c_00092,authentic,1,0.8429,0.7235,0.1048
model4_efficientnetb0_frozen,mendeley_split_c_00093,authentic,1,0.9424,0.6214,0.1064
model4_efficientnetb0_frozen,mendeley_split_c_00094,authentic,1,0.8933,0.6668,0.0899
model4_efficientnetb0_frozen,mendeley_split_c_00095,authentic,1,0.8888,0.558,0.233
model4_efficientnetb0_frozen,mendeley_split_c_00096,authentic,1,0.7433,0.8163,0.0591
model4_efficientnetb0_frozen,mendeley_split_c_00097,counterfeit,0,0.2059,1.0,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00098,authentic,1,0.8678,0.5005,0.2951
model4_efficientnetb0_frozen,mendeley_split_c_00099,counterfeit,0,0.1953,1.0,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00100,authentic,1,0.9764,0.6055,0.2134
model4_efficientnetb0_frozen,mendeley_split_c_00101,authentic,1,0.8757,0.7221,0.0479
model4_efficientnetb0_frozen,mendeley_split_c_00102,authentic,1,0.946,0.4484,0.3028
model4_efficientnetb0_frozen,mendeley_split_c_00103,authentic,1,0.8833,0.8121,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00104,authentic,1,0.5028,0.7595,0.0608
model4_efficientnetb0_frozen,mendeley_split_c_00105,counterfeit,0,0.4972,1.0,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00106,authentic,1,0.5941,0.295,0.613
model4_efficientnetb0_frozen,mendeley_split_c_00107,authentic,1,0.9496,0.4799,0.2213
model4_efficientnetb0_frozen,mendeley_split_c_00108,authentic,1,0.9637,0.3791,0.354
model4_efficientnetb0_frozen,mendeley_split_c_00109,authentic,1,0.7158,0.6951,0.1355
model4_efficientnetb0_frozen,mendeley_split_c_00110,counterfeit,0,0.3444,0.7649,0.0521
model4_efficientnetb0_frozen,mendeley_split_c_00111,authentic,1,0.9037,0.9179,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00112,authentic,1,0.8447,0.4433,0.3294
model4_efficientnetb0_frozen,mendeley_split_c_00113,authentic,1,0.7747,0.447,0.3163
model4_efficientnetb0_frozen,mendeley_split_c_00114,authentic,1,0.7175,0.6733,0.1202
model4_efficientnetb0_frozen,mendeley_split_c_00115,authentic,1,0.7397,0.7747,0.044
model4_efficientnetb0_frozen,mendeley_split_c_00116,authentic,1,0.7872,0.4961,0.2326
model4_efficientnetb0_frozen,mendeley_split_c_00117,authentic,1,0.5295,0.7914,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00118,counterfeit,0,0.4128,0.6317,0.1004
model4_efficientnetb0_frozen,mendeley_split_c_00119,authentic,1,0.5013,0.7125,0.0662
model4_efficientnetb0_frozen,mendeley_split_c_00120,authentic,1,0.9194,0.6118,0.1541
model4_efficientnetb0_frozen,mendeley_split_c_00121,authentic,1,0.9814,0.7054,0.1303
model4_efficientnetb0_frozen,mendeley_split_c_00122,authentic,1,0.9896,0.5703,0.2783
model4_efficientnetb0_frozen,mendeley_split_c_00123,authentic,1,0.9291,0.4092,0.3348
model4_efficientnetb0_frozen,mendeley_split_c_00124,authentic,1,0.7857,0.7947,0.0665
model4_efficientnetb0_frozen,mendeley_split_c_00125,authentic,1,0.8806,0.5281,0.2564
model4_efficientnetb0_frozen,mendeley_split_c_00126,authentic,1,0.6759,0.4567,0.4049
model4_efficientnetb0_frozen,mendeley_split_c_00127,authentic,1,0.8207,0.7256,0.1532
model4_efficientnetb0_frozen,mendeley_split_c_00128,authentic,1,0.9357,0.7753,0.0166
model4_efficientnetb0_frozen,mendeley_split_c_00129,authentic,1,0.855,0.5237,0.2113
model4_efficientnetb0_frozen,mendeley_split_c_00130,counterfeit,0,0.4844,0.3647,0.3212
model4_efficientnetb0_frozen,mendeley_split_c_00131,authentic,1,0.8371,0.5059,0.3636
model4_efficientnetb0_frozen,mendeley_split_c_00132,counterfeit,0,0.2567,0.5126,0.3157
model4_efficientnetb0_frozen,mendeley_split_c_00133,authentic,1,0.7396,0.964,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00134,authentic,1,0.9353,0.7343,0.0625
model4_efficientnetb0_frozen,mendeley_split_c_00135,authentic,1,0.7949,0.6103,0.2144
model4_efficientnetb0_frozen,mendeley_split_c_00136,authentic,1,0.7603,0.4593,0.34
