image_id,class_label,relpath_from_root,source,source_ref,product_identity,group_id,licence,attribution,candidate_id,min_hamming_to_pool,format,width,height,min_side,file_size_bytes,brightness
bx_auth_016,authentic,data/processed/balanced_external/authentic/bx_auth_016.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tube_de_lysopaine.jpg,Category:Drug packaging,auth_016,CC BY 4.0,Exilexi,BA_003428,16,JPEG,597,448,448,105072,0.38096246123313904
bx_auth_017,authentic,data/processed/balanced_external/authentic/bx_auth_017.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bimmuge-Hepatitis_B_Vaccines.jpg,hepatitis B vaccine,auth_017,CC BY-SA 4.0,melvil,BA_000553,18,JPEG,448,555,448,114240,0.6241852641105652
bx_auth_018,authentic,data/processed/balanced_external/authentic/bx_auth_018.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:LOVION_Chocolate_with_Ginseng_Carton_back_(55077022979).jpg,medication carton,auth_018,Public domain,The U.S. Food and Drug Administration,BA_001808,16,JPEG,448,1274,448,274839,0.5859333872795105
bx_auth_019,authentic,data/processed/balanced_external/authentic/bx_auth_019.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Menitorix.jpg,meningococcal vaccine,auth_019,CC BY-SA 4.0,Whispyhistory,BA_002072,16,JPEG,586,448,448,116559,0.5347254276275635
bx_auth_020,authentic,data/processed/balanced_external/authentic/bx_auth_020.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Diazepam_stock_bottle_10mg_tabs.jpg,diazepam,auth_020,CC BY-SA 3.0,Tmeers91,BA_001111,16,JPEG,448,597,448,94000,0.49183645844459534
bx_auth_021,authentic,data/processed/balanced_external/authentic/bx_auth_021.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Alnagon_-_Spofa_-_krabi%C4%8Dka_a_blistr.JPG,phenobarbital,auth_021,CC BY-SA 4.0,Jiří Dobrý,BA_000282,16,JPEG,597,448,448,77260,0.5771417617797852
bx_auth_022,authentic,data/processed/balanced_external/authentic/bx_auth_022.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oxford_AstraZeneca_COVID-19_vaccine_(2021)_B.jpeg,COVID-19 vaccine AstraZeneca,auth_022,CC0,gencat cat,BA_002373,18,JPEG,672,448,448,59956,0.6371793150901794
bx_auth_023,authentic,data/processed/balanced_external/authentic/bx_auth_023.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pneumovax_23.jpg,vaccine vial box,auth_023,Public domain,Waddie96,BA_002780,14,JPEG,448,448,448,51280,0.6630792617797852
bx_auth_024,authentic,data/processed/balanced_external/authentic/bx_auth_024.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stamaril_FIN.jpg,yellow fever vaccine,auth_024,CC BY-SA 4.0,Xepheid,BA_003191,12,JPEG,719,448,448,147993,0.5594449043273926
bx_auth_025,authentic,data/processed/balanced_external/authentic/bx_auth_025.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Acetylcystein_as_effervescent_tablet_branded_ACC_by_Sandoz.jpg,Category:Tablets (pharmacy),auth_025,CC BY-SA 4.0,It's gonna be awesome,BA_000185,16,JPEG,448,597,448,77088,0.5999729037284851
bx_auth_026,authentic,data/processed/balanced_external/authentic/bx_auth_026.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sovodak.jpg,sofosbuvir,auth_026,CC0,Shahin Merat,BA_003185,18,JPEG,517,448,448,71459,0.39125943183898926
bx_auth_027,authentic,data/processed/balanced_external/authentic/bx_auth_027.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Inicio_de_la_vacunaci%C3%B3n_contra_la_COVID-19_en_Costa_Rica_usando_la_dosis_de_AstraZeneca_02.jpg,Covishield,auth_027,CC BY-SA 4.0,Julieth Méndez/Presidencia de la República de Costa Rica,BA_001676,16,JPEG,672,448,448,71194,0.45900097489356995
bx_auth_028,authentic,data/processed/balanced_external/authentic/bx_auth_028.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:P_ALAXIN_TS_TABLET.jpg,antimalarial tablets,auth_028,CC0,Abdsomod,BA_002468,16,JPEG,448,797,448,93458,0.5092304348945618
bx_auth_029,authentic,data/processed/balanced_external/authentic/bx_auth_029.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Flickr_-_Israel_Defense_Forces_-_Expired_Medicine_Unloaded_Off_Gaza_Flotillas_(2).jpg,medicine box package,auth_029,CC BY 2.0,Israel Defense Forces,BA_001384,18,JPEG,597,448,448,85355,0.6039107441902161
bx_auth_030,authentic,data/processed/balanced_external/authentic/bx_auth_030.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wegovy_-_Semaglutide.jpg,semaglutide Ozempic,auth_030,CC BY 4.0,Nelson R. de Lima Filho,BA_003575,18,JPEG,448,597,448,97958,0.5985230803489685
bx_auth_031,authentic,data/processed/balanced_external/authentic/bx_auth_031.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ozempic%C2%AE_3ml.jpg,semaglutide Ozempic,auth_031,CC BY-SA 4.0,HualinXMN,BA_002467,12,JPEG,688,448,448,67588,0.6038329005241394
bx_auth_032,authentic,data/processed/balanced_external/authentic/bx_auth_032.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:30mg_Vyvanse_capsules.JPG,Category:Medicine bottles,auth_032,CC0,Sardaukar Blackfang at English Wikipedia,BA_000072,18,JPEG,579,448,448,116705,0.43382444977760315
bx_auth_033,authentic,data/processed/balanced_external/authentic/bx_auth_033.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Diazepam,_strips_10_mg_(Valium).jpg",diazepam,auth_033,CC BY-SA 4.0,DMTrott,BA_001116,14,JPEG,868,448,448,144235,0.7118432521820068
bx_auth_034,authentic,data/processed/balanced_external/authentic/bx_auth_034.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oxford_AstraZeneca_COVID-19_vaccine_(2021)_Q.jpg,COVID-19 vaccine AstraZeneca,auth_034,CC BY 2.0,ŽupaBA VUCBA,BA_002389,18,JPEG,448,673,448,57744,0.651252269744873
bx_auth_035,authentic,data/processed/balanced_external/authentic/bx_auth_035.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2025-01-04_Betahistine%EF%BC%88%E3%83%99%E3%82%BF%E3%83%92%E3%82%B9%E3%83%81%E3%83%B3%EF%BC%89_DSCF5667.jpg,Category:Blister packs,auth_035,CC BY-SA 4.0,Matsuoka.A,BA_000068,16,JPEG,672,448,448,154947,0.49910518527030945
bx_auth_036,authentic,data/processed/balanced_external/authentic/bx_auth_036.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Infanrix_hexa_vaccine.jpg,hepatitis B vaccine,auth_036,CC BY-SA 4.0,Whispyhistory,BA_001665,18,JPEG,448,783,448,129989,0.5636566281318665
bx_auth_037,authentic,data/processed/balanced_external/authentic/bx_auth_037.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dexzopiclone_Tablets.jpg,blister pack tablets,auth_037,CC BY-SA 4.0,HualinXMN,BA_001098,14,JPEG,597,448,448,96768,0.4981757700443268
bx_auth_038,authentic,data/processed/balanced_external/authentic/bx_auth_038.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dukoral_package.jpg,vaccine vial box,auth_038,CC BY-SA 4.0,Dvermeirre,BA_001222,20,JPEG,448,597,448,93682,0.45399561524391174
bx_auth_039,authentic,data/processed/balanced_external/authentic/bx_auth_039.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rybelsus_3mg_7mg.jpg,semaglutide Ozempic,auth_039,CC BY-SA 4.0,Windshear,BA_003034,16,JPEG,597,448,448,115153,0.4537578821182251
bx_auth_040,authentic,data/processed/balanced_external/authentic/bx_auth_040.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Combiart_drug.jpg,artemether lumefantrine,auth_040,CC0,Bamjos,BA_000955,16,JPEG,595,448,448,118435,0.43958747386932373
bx_auth_041,authentic,data/processed/balanced_external/authentic/bx_auth_041.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:COVID-19_AstraZeneca_Vaccine_vial_and_NHS_record_card.jpg,COVID-19 vaccine vial,auth_041,CC BY-SA 4.0,Rwendland,BA_000815,18,JPEG,597,448,448,90463,0.6169794201850891
bx_auth_042,authentic,data/processed/balanced_external/authentic/bx_auth_042.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Jardiance_10mg_box,_angle_view.jpg",pharmaceutical packaging photograph,auth_042,CC BY-SA 4.0,Grendelkhan,BA_001738,18,JPEG,448,597,448,67553,0.5594075322151184
bx_auth_043,authentic,data/processed/balanced_external/authentic/bx_auth_043.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rybelsus_14mg_box_angle_view.jpg,semaglutide Ozempic,auth_043,CC BY-SA 4.0,Grendelkhan,BA_003032,18,JPEG,448,597,448,76211,0.5848396420478821
bx_auth_044,authentic,data/processed/balanced_external/authentic/bx_auth_044.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:M%C3%A9dicament%CC%A0_coartem_contre_paludisme_(Malaria)_06.jpg,artemether lumefantrine,auth_044,CC BY-SA 4.0,Adoscam,BA_002156,18,JPEG,618,448,448,107491,0.6862033009529114
bx_auth_045,authentic,data/processed/balanced_external/authentic/bx_auth_045.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Duphalac_200_ml.jpg,pharmaceutical packaging photograph,auth_045,CC BY-SA 4.0,Pavel Dušek,BA_001227,16,JPEG,448,457,448,44338,0.6855459213256836
bx_auth_046,authentic,data/processed/balanced_external/authentic/bx_auth_046.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stamaril_(Yellow_fever_vaccine).jpg,yellow fever vaccine,auth_046,CC BY-SA 4.0,Whispyhistory,BA_003190,16,JPEG,448,709,448,138544,0.3917464315891266
bx_cft_001,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_001.jpg,WHO regulatory alert,https://www.who.int/news/item/02-03-2018-medical-product-alert-n-2-2018--falsified--augmentin,case_ALERT_0009,case_ALERT_0009,,WHO,split_e_HV_000001_x43,14,JPEG,1051,448,448,58941,0.522336483001709
bx_cft_002,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_002.jpg,WHO regulatory alert,https://www.who.int/news/item/02-06-2017-medical-product-alert-n-1-2017--falsified-meningococcal-acwy-vaccine,case_ALERT_0010,case_ALERT_0010,,WHO,split_e_HV_000011_x50,18,JPEG,997,448,448,104701,0.3976546823978424
bx_cft_003,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_003.jpg,WHO regulatory alert,https://www.who.int/news/item/02-07-2015-medical-product-alert-n-4-2015--adverse-reactions-caused-by-falsified-diazepam,case_ALERT_0011,case_ALERT_0011,,WHO,split_e_HV_000019_x25,18,JPEG,463,448,448,37222,0.5654842853546143
bx_cft_004,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_004.jpg,WHO regulatory alert,https://www.who.int/news/item/03-07-2026-medical-product-alert-n-3-2026--falsified-darzalex-(daratumumab),case_ALERT_0012,case_ALERT_0012,,WHO,split_e_HV_000036_x29,14,JPEG,860,448,448,102231,0.6671738028526306
bx_cft_005,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_005.jpg,WHO regulatory alert,https://www.who.int/news/item/04-09-2023-medical-product-alert-n-7-2023--falsified-defitelio-(defibrotide),case_ALERT_0013,case_ALERT_0013,,WHO,split_e_HV_000045_x38,20,JPEG,470,448,448,67314,0.7132886052131653
bx_cft_006,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_006.jpg,WHO regulatory alert,https://www.who.int/news/item/04-11-2021-medical-product-alert-n-7-2021-falsified-covid-19-vaccine-astrazeneca,case_ALERT_0014,case_ALERT_0014,,WHO,split_e_HV_000062_x28,18,JPEG,499,448,448,65392,0.4656412899494171
bx_cft_007,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_007.jpg,WHO regulatory alert,https://www.who.int/news/item/05-02-2016-medical-product-alert-n-4-2017--falsified-phenobarbitone-tablets,case_ALERT_0015,case_ALERT_0015,,WHO,split_e_HV_000070_x34,18,JPEG,475,448,448,74081,0.4214419424533844
bx_cft_008,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_008.jpg,WHO regulatory alert,https://www.who.int/news/item/05-08-2024-medical-product-alert-n-3-2024--falsified-(contaminated)-oxymorphone-hydrochloride-40mg,case_ALERT_0016,case_ALERT_0016,,WHO,split_e_HV_000078_x36,18,JPEG,448,610,448,90289,0.6203131675720215
bx_cft_009,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_009.jpg,WHO regulatory alert,https://www.who.int/news/item/09-03-2022-medical-product-alert-n-2-2022-falsified-desrem-(remdesivir),case_ALERT_0017,case_ALERT_0017,,WHO,split_e_HV_000096_x28,18,JPEG,448,927,448,66135,0.34116148948669434
bx_cft_010,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_010.jpg,WHO regulatory alert,https://www.who.int/news/item/09-12-2025-medical-product-alert-n-6-2025--falsified-simulect-(basiliximab)-for-injection,case_ALERT_0018,case_ALERT_0018,,WHO,split_e_HV_000104_x39,18,JPEG,770,448,448,110036,0.6299029588699341
bx_cft_011,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_011.jpg,WHO regulatory alert,https://www.who.int/news/item/10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,case_ALERT_0019,case_ALERT_0019,,WHO,split_e_HV_000116_x56,16,JPEG,448,854,448,71452,0.5943365693092346
bx_cft_012,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_012.jpg,WHO regulatory alert,https://www.who.int/news/item/10-10-2014-medical-product-alert-n-2-2014--falsified-medicines-update,case_ALERT_0020,case_ALERT_0020,,WHO,split_e_HV_000125_x54,16,JPEG,518,448,448,61100,0.5031728744506836
bx_cft_013,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_013.jpg,WHO regulatory alert,https://www.who.int/news/item/10-10-2024-medical-product-alert-n-4-2024--falsified-usp-ep-propylene-glycol,case_ALERT_0021,case_ALERT_0021,,WHO,split_e_HV_000133_x54,18,JPEG,595,448,448,65384,0.5968427658081055
bx_cft_014,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_014.jpg,WHO regulatory alert,https://www.who.int/news/item/11-02-2016-medical-product-alert-n-2-2016--falsified-amaril-yellow-fever-vaccines,case_ALERT_0022,case_ALERT_0022,,WHO,split_e_HV_000145_x48,14,JPEG,989,448,448,134047,0.6761722564697266
bx_cft_015,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_015.jpg,WHO regulatory alert,https://www.who.int/news/item/11-04-2023-medical-product-alert-n-3-2023--falsified-defitelio-(defibrotide-sodium),case_ALERT_0023,case_ALERT_0023,,WHO,split_e_HV_000153_x35,20,JPEG,562,448,448,86051,0.5725002288818359
bx_cft_016,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_016.jpg,WHO regulatory alert,https://www.who.int/news/item/12-03-2025-medical-product-alert-n-1-2024--falsified-(contaminated)-oxycontin-80mg,case_ALERT_0024,case_ALERT_0024,,WHO,split_e_HV_000162_x44,18,JPEG,448,969,448,161155,0.36942753195762634
bx_cft_017,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_017.jpg,WHO regulatory alert,https://www.who.int/news/item/13-08-2021-medical-product-alert-n-4-2021-falsified-remdesivir,case_ALERT_0025,case_ALERT_0025,,WHO,split_e_HV_000170_x51,16,JPEG,448,735,448,60382,0.6276571154594421
bx_cft_018,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_018.jpg,WHO regulatory alert,https://www.who.int/news/item/14-05-2025-medical-product-alert-n-3-2025--falsified-imfinzi-(durvalumab)-injection-500mg-10ml,case_ALERT_0026,case_ALERT_0026,,WHO,split_e_HV_000180_x36,18,JPEG,554,448,448,71073,0.5822106003761292
bx_cft_019,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_019.jpg,WHO regulatory alert,https://www.who.int/news/item/15-04-2024-medical-product-alert-n-1-2024--falsified-(contaminated)-usp-ep-propylene-glycol,case_ALERT_0027,case_ALERT_0027,,WHO,split_e_HV_000189_x11,18,JPEG,448,735,448,75462,0.5403285622596741
bx_cft_020,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_020.jpg,WHO regulatory alert,https://www.who.int/news/item/18-08-2017-medical-product-alert-n-3-2017--falsified-avastin-and-sutent,case_ALERT_0028,case_ALERT_0028,,WHO,split_e_HV_000217_x33,20,JPEG,597,448,448,62155,0.4934816360473633
bx_cft_021,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_021.jpg,WHO regulatory alert,https://www.who.int/news/item/18-11-2015-medical-product-alert-n-5-2015--falsified-emergency-contraceptive,case_ALERT_0029,case_ALERT_0029,,WHO,split_e_HV_000225_x44,14,JPEG,448,481,448,83639,0.5864296555519104
bx_cft_022,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_022.jpg,WHO regulatory alert,https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),case_ALERT_0030,case_ALERT_0030,,WHO,split_e_HV_000233_x50,18,JPEG,450,448,448,39413,0.6251896023750305
bx_cft_023,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_023.jpg,WHO regulatory alert,https://www.who.int/news/item/19-08-2016-medical-product-alert-n-4-2016--falsified-quinine-sulphate,case_ALERT_0031,case_ALERT_0031,,WHO,split_e_HV_000241_x42,20,JPEG,448,483,448,42271,0.6436814665794373
bx_cft_024,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_024.jpg,WHO regulatory alert,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,case_ALERT_0032,case_ALERT_0032,,WHO,split_e_HV_000249_x32,18,JPEG,810,448,448,49962,0.5518724322319031
bx_cft_025,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_025.jpg,WHO regulatory alert,https://www.who.int/news/item/21-12-2021-medical-product-alert-n-8-2021-falsified-combiart,case_ALERT_0033,case_ALERT_0033,,WHO,split_e_HV_000257_x50,16,JPEG,448,647,448,108290,0.5987659096717834
bx_cft_026,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_026.jpg,WHO regulatory alert,https://www.who.int/news/item/22-05-2015-medical-product-alert-n-2-2015--falsified-meningitis-vaccines,case_ALERT_0034,case_ALERT_0034,,WHO,split_e_HV_000266_x47,18,JPEG,448,732,448,108222,0.3807776868343353
bx_cft_027,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_027.jpg,WHO regulatory alert,https://www.who.int/news/item/23-03-2018-medical-product-alert-n-3-2018--falsified-hepatitis-b-vaccines,case_ALERT_0035,case_ALERT_0035,,WHO,split_e_HV_000282_x47,18,JPEG,597,448,448,70955,0.36424121260643005
bx_cft_028,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_028.jpg,WHO regulatory alert,https://www.who.int/news/item/23-04-2025-medical-product-alert-n-2-2025--falsified-healmoxy-(amoxicillin)-capsules-500mg,case_ALERT_0036,case_ALERT_0036,,WHO,split_e_HV_000290_x33,18,JPEG,448,641,448,65893,0.5160555243492126
bx_cft_029,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_029.jpg,WHO regulatory alert,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,case_ALERT_0037,case_ALERT_0037,,WHO,split_e_HV_000298_x37,16,JPEG,796,448,448,67151,0.5077244639396667
bx_cft_030,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_030.jpg,WHO regulatory alert,https://www.who.int/news/item/25-02-2016-medical-product-alert-n-3-2016--falsified-hepatitis-c-medicines,case_ALERT_0038,case_ALERT_0038,,WHO,split_e_HV_000306_x50,18,JPEG,448,809,448,82478,0.5968510508537292
bx_cft_031,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_031.jpg,WHO regulatory alert,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,case_ALERT_0039,case_ALERT_0039,,WHO,split_e_HV_000314_x54,18,JPEG,609,448,448,97272,0.6055335402488708
bx_cft_032,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_032.jpg,WHO regulatory alert,https://www.who.int/news/item/25-08-2022-medical-product-alert-n-5-2022-falsified-diprivan,case_ALERT_0040,case_ALERT_0040,,WHO,split_e_HV_000322_x37,16,JPEG,1160,448,448,84778,0.43046653270721436
bx_cft_033,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_033.jpg,WHO regulatory alert,https://www.who.int/news/item/26-03-2021-medical-product-alert-n-2-2021-falsified-covid-19-vaccine-bnt162b2,case_ALERT_0041,case_ALERT_0041,,WHO,split_e_HV_000330_x51,14,JPEG,1110,448,448,85070,0.713998019695282
bx_cft_034,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_034.jpg,WHO regulatory alert,https://www.who.int/news/item/27-05-2015-medical-product-alert-n-3-2015--falsified-meningitis-vaccines-update,case_ALERT_0042,case_ALERT_0042,,WHO,split_e_HV_000347_x42,16,JPEG,448,725,448,67984,0.6550940871238708
bx_cft_035,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_035.jpg,WHO regulatory alert,https://www.who.int/news/item/27-05-2022-medical-product-alert-n-3-2022-falsified-intratect-human-normal-immunoglobulin,case_ALERT_0043,case_ALERT_0043,,WHO,split_e_HV_000355_x35,16,JPEG,448,928,448,88213,0.4998774528503418
bx_cft_036,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_036.jpg,WHO regulatory alert,https://www.who.int/news/item/27-07-2017-medical-product-alert-n-2-2017--falsified-quinine-sulphate,case_ALERT_0044,case_ALERT_0044,,WHO,split_e_HV_000363_x25,18,JPEG,448,504,448,56629,0.5633042454719543
bx_cft_037,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_037.jpg,WHO regulatory alert,https://www.who.int/news/item/27-11-2017-medical-product-alert-n-4-2017--falsified-penicillin-v,case_ALERT_0045,case_ALERT_0045,,WHO,split_e_HV_000371_x36,14,JPEG,448,737,448,84843,0.498276948928833
bx_cft_038,counterfeit,data/processed/balanced_external/counterfeit/bx_cft_038.jpg,WHO regulatory alert,https://www.who.int/news/item/31-08-2021-medical-product-alert-n-5-2021-falsified-covishield-vaccine,case_ALERT_0046,case_ALERT_0046,,WHO,split_e_HV_000381_x51,16,JPEG,450,448,448,83040,0.45425283908843994
