n,image_id,product_term,commons_page,license,attribution,verdict,reviewer,review_date,note
31,bx_auth_031,semaglutide Ozempic,https://commons.wikimedia.org/wiki/File:Ozempic%C2%AE_3ml.jpg,CC BY-SA 4.0,HualinXMN,,,,
32,bx_auth_032,Category:Medicine bottles,https://commons.wikimedia.org/wiki/File:30mg_Vyvanse_capsules.JPG,CC0,Sardaukar Blackfang at English Wikipedia,,,,
33,bx_auth_033,diazepam,"https://commons.wikimedia.org/wiki/File:Diazepam,_strips_10_mg_(Valium).jpg",CC BY-SA 4.0,DMTrott,,,,
34,bx_auth_034,COVID-19 vaccine AstraZeneca,https://commons.wikimedia.org/wiki/File:Oxford_AstraZeneca_COVID-19_vaccine_(2021)_Q.jpg,CC BY 2.0,ŽupaBA VUCBA,,,,
35,bx_auth_035,Category:Blister packs,https://commons.wikimedia.org/wiki/File:2025-01-04_Betahistine%EF%BC%88%E3%83%99%E3%82%BF%E3%83%92%E3%82%B9%E3%83%81%E3%83%B3%EF%BC%89_DSCF5667.jpg,CC BY-SA 4.0,Matsuoka.A,,,,
36,bx_auth_036,hepatitis B vaccine,https://commons.wikimedia.org/wiki/File:Infanrix_hexa_vaccine.jpg,CC BY-SA 4.0,Whispyhistory,,,,
37,bx_auth_037,blister pack tablets,https://commons.wikimedia.org/wiki/File:Dexzopiclone_Tablets.jpg,CC BY-SA 4.0,HualinXMN,,,,
38,bx_auth_038,vaccine vial box,https://commons.wikimedia.org/wiki/File:Dukoral_package.jpg,CC BY-SA 4.0,Dvermeirre,,,,
39,bx_auth_039,semaglutide Ozempic,https://commons.wikimedia.org/wiki/File:Rybelsus_3mg_7mg.jpg,CC BY-SA 4.0,Windshear,,,,
40,bx_auth_040,artemether lumefantrine,https://commons.wikimedia.org/wiki/File:Combiart_drug.jpg,CC0,Bamjos,,,,
41,bx_auth_041,COVID-19 vaccine vial,https://commons.wikimedia.org/wiki/File:COVID-19_AstraZeneca_Vaccine_vial_and_NHS_record_card.jpg,CC BY-SA 4.0,Rwendland,,,,
42,bx_auth_042,pharmaceutical packaging photograph,"https://commons.wikimedia.org/wiki/File:Jardiance_10mg_box,_angle_view.jpg",CC BY-SA 4.0,Grendelkhan,,,,
43,bx_auth_043,semaglutide Ozempic,https://commons.wikimedia.org/wiki/File:Rybelsus_14mg_box_angle_view.jpg,CC BY-SA 4.0,Grendelkhan,,,,
44,bx_auth_044,artemether lumefantrine,https://commons.wikimedia.org/wiki/File:M%C3%A9dicament%CC%A0_coartem_contre_paludisme_(Malaria)_06.jpg,CC BY-SA 4.0,Adoscam,,,,
45,bx_auth_045,pharmaceutical packaging photograph,https://commons.wikimedia.org/wiki/File:Duphalac_200_ml.jpg,CC BY-SA 4.0,Pavel Dušek,,,,
46,bx_auth_046,yellow fever vaccine,https://commons.wikimedia.org/wiki/File:Stamaril_(Yellow_fever_vaccine).jpg,CC BY-SA 4.0,Whispyhistory,,,,
