image_id,manifest_label,decision,exclusion_code,in_split_e,source_organization,width,height,min_side,file_size_bytes,brightness
HV_000201_x41,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,1128,396,396,540816,0.7360941767692566
HV_000217_x27,FALSIFIED,include,,True,WHO,665,499,499,422166,0.4637925326824188
HV_000217_x28,FALSIFIED,include,,True,WHO,452,339,339,221882,0.4991782605648041
HV_000217_x33,FALSIFIED,include,,True,WHO,449,337,337,221406,0.4934662878513336
HV_000217_x34,FALSIFIED,include,,True,WHO,469,352,352,219868,0.5171610116958618
HV_000225_x44,FALSIFIED,include,,True,WHO,964,1036,964,1326257,0.586414635181427
HV_000233_x34,FALSIFIED,include,,True,WHO,664,504,504,210521,0.6538839340209961
HV_000233_x41,FALSIFIED,include,,True,WHO,665,315,315,199610,0.4514843225479126
HV_000233_x42,FALSIFIED,include,,True,WHO,668,146,146,85576,0.7112639546394348
HV_000233_x43,FALSIFIED,include,,True,WHO,665,142,142,151672,0.5166800618171692
HV_000233_x49,FALSIFIED,include,,True,WHO,474,478,474,209242,0.7757595181465149
HV_000233_x50,FALSIFIED,include,,True,WHO,483,481,481,218763,0.6252058148384094
HV_000241_x29,FALSIFIED,include,,True,WHO,642,856,642,274311,0.6977922320365906
HV_000241_x30,FALSIFIED,include,,True,WHO,642,856,642,383747,0.6509312391281128
HV_000241_x42,FALSIFIED,include,,True,WHO,369,398,369,190488,0.6436590552330017
HV_000241_x43,FALSIFIED,include,,True,WHO,406,430,406,212231,0.6385930776596069
HV_000249_x32,FALSIFIED,include,,True,WHO,459,254,254,126159,0.5518686175346375
HV_000249_x33,FALSIFIED,include,,True,WHO,346,189,189,112315,0.6606824994087219
HV_000249_x49,FALSIFIED,include,,True,WHO,708,323,323,190921,0.45681166648864746
HV_000249_x50,FALSIFIED,include,,True,WHO,345,271,271,77290,0.7467336058616638
HV_000257_x48,FALSIFIED,include,,True,WHO,468,823,468,574857,0.5969005227088928
HV_000257_x49,FALSIFIED,include,,True,WHO,385,694,385,443014,0.638434112071991
HV_000257_x50,FALSIFIED,include,,True,WHO,501,723,501,721777,0.5988408923149109
HV_000266_x47,FALSIFIED,include,,True,WHO,483,789,483,890495,0.38067877292633057
HV_000266_x48,FALSIFIED,include,,True,WHO,821,722,722,1043914,0.32171863317489624
HV_000266_x49,FALSIFIED,include,,True,WHO,716,667,667,817275,0.5143740177154541
HV_000281,FALSIFIED,exclude,X_TEXT_ONLY,False,WHO,1347,436,436,66466,0.9176754951477051
HV_000282_x45,FALSIFIED,include,,True,WHO,748,514,514,597581,0.4516933858394623
HV_000282_x47,FALSIFIED,include,,True,WHO,646,485,485,486324,0.36427760124206543
HV_000282_x49,FALSIFIED,include,,True,WHO,572,461,461,432862,0.32814034819602966
HV_000282_x51,FALSIFIED,include,,True,WHO,466,620,466,401408,0.34220507740974426
HV_000282_x53,FALSIFIED,include,,True,WHO,518,576,518,579422,0.4469963014125824
HV_000290_x30,FALSIFIED,include,,True,WHO,358,444,358,213017,0.45536792278289795
HV_000290_x31,FALSIFIED,include,,True,WHO,369,468,369,279613,0.5922701954841614
HV_000290_x32,FALSIFIED,include,,True,WHO,471,590,471,350525,0.4757467806339264
HV_000290_x33,FALSIFIED,include,,True,WHO,557,797,557,505014,0.5161609053611755
HV_000290_x34,FALSIFIED,include,,True,WHO,348,445,348,205821,0.4927769601345062
HV_000290_x39,FALSIFIED,include,,True,WHO,619,450,450,366536,0.5319703221321106
HV_000290_x40,FALSIFIED,include,,True,WHO,598,507,507,450410,0.6108488440513611
HV_000298_x34,FALSIFIED,include,,True,WHO,640,480,480,286313,0.6070334911346436
HV_000298_x37,FALSIFIED,include,,True,WHO,1632,918,918,1158115,0.5077113509178162
HV_000298_x38,FALSIFIED,include,,True,WHO,640,480,480,484198,0.5697035789489746
HV_000298_x41,FALSIFIED,include,,True,WHO,362,324,324,143243,0.43808817863464355
HV_000298_x42,FALSIFIED,include,,True,WHO,1032,581,581,637002,0.5383821129798889
HV_000298_x45,FALSIFIED,include,,True,WHO,826,465,465,677022,0.4761463701725006
HV_000306_x49,FALSIFIED,include,,True,WHO,196,368,196,124974,0.6364777684211731
HV_000306_x50,FALSIFIED,include,,True,WHO,497,897,497,564911,0.5968565344810486
HV_000306_x51,FALSIFIED,include,,True,WHO,439,698,439,580466,0.6002984046936035
HV_000306_x52,FALSIFIED,include,,True,WHO,420,723,420,455645,0.5757158398628235
HV_000306_x53,FALSIFIED,include,,True,WHO,444,823,444,496121,0.590320885181427
HV_000314_x48,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,343,336,336,140431,0.8546957969665527
HV_000314_x49,FALSIFIED,include,,True,WHO,408,306,306,174311,0.582513153553009
HV_000314_x54,FALSIFIED,include,,True,WHO,1546,1137,1137,3394674,0.6054809093475342
HV_000314_x55,FALSIFIED,include,,True,WHO,451,392,392,208725,0.6988597512245178
HV_000322_x34,FALSIFIED,include,,True,WHO,320,800,320,303090,0.465470552444458
HV_000322_x35,FALSIFIED,include,,True,WHO,668,266,266,271415,0.5496399998664856
HV_000322_x36,FALSIFIED,include,,True,WHO,793,321,321,255755,0.41538310050964355
HV_000322_x37,FALSIFIED,include,,True,WHO,847,327,327,287476,0.4304760992527008
HV_000330_x51,FALSIFIED,include,,True,WHO,914,369,369,361319,0.7138857245445251
HV_000337,FALSIFIED,exclude,X_TEXT_ONLY,False,WHO,876,206,206,15395,0.8910526633262634
HV_000338,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,836,425,425,366625,0.7780235409736633
HV_000347_x42,FALSIFIED,include,,True,WHO,515,834,515,421798,0.6550257802009583
HV_000347_x43,FALSIFIED,include,,True,WHO,543,614,543,633991,0.6077994704246521
HV_000347_x47,FALSIFIED,include,,True,WHO,523,954,523,636148,0.6985734105110168
HV_000347_x48,FALSIFIED,include,,True,WHO,513,956,513,610423,0.6995622515678406
HV_000347_x49,FALSIFIED,include,,True,WHO,491,874,491,861126,0.34669914841651917
HV_000355_x34,FALSIFIED,include,,True,WHO,277,445,277,122851,0.3611462414264679
HV_000355_x35,FALSIFIED,include,,True,WHO,337,698,337,274448,0.4998267590999603
HV_000355_x36,FALSIFIED,include,,True,WHO,202,363,202,115977,0.5365151762962341
HV_000355_x37,FALSIFIED,include,,True,WHO,127,219,127,49085,0.6185614466667175
HV_000363_x25,FALSIFIED,include,,True,WHO,611,688,611,534011,0.5631896257400513
HV_000363_x26,FALSIFIED,include,,True,WHO,568,688,568,495129,0.5925471782684326
HV_000363_x31,FALSIFIED,include,,True,WHO,578,677,578,504678,0.5094573497772217
HV_000371_x36,FALSIFIED,include,,True,WHO,457,752,457,470773,0.49829229712486267
HV_000371_x37,FALSIFIED,include,,True,WHO,289,304,289,206153,0.42640963196754456
HV_000371_x38,FALSIFIED,include,,True,WHO,350,437,350,373838,0.5105118155479431
HV_000371_x39,FALSIFIED,include,,True,WHO,556,223,223,228667,0.6610801815986633
HV_000381_x47,FALSIFIED,include,,True,WHO,824,595,595,1069389,0.5116041898727417
HV_000381_x51,FALSIFIED,include,,True,WHO,833,829,829,1240814,0.4544309079647064
HV_000381_x57,FALSIFIED,exclude,X_ANNOTATED,False,WHO,654,915,654,1024171,0.5020517706871033
HV_000388,FALSIFIED,exclude,X_TEXT_ONLY,False,WHO,752,321,321,33527,0.8904645442962646
HV_000390,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,368,419,368,293223,0.5927411913871765
HV_000391,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,560,674,560,632120,0.6518175005912781
PC_000001,FALSIFIED,include,,True,FDA,333,523,333,313792,0.37341901659965515
PC_000002,FALSIFIED,include,,True,FDA,335,131,131,125215,0.566681981086731
PC_000003,FALSIFIED,include,,True,FDA,365,206,206,212046,0.6656495928764343
PC_000004,FALSIFIED,include,,True,FDA,232,495,232,205726,0.5073979496955872
PC_000005,FALSIFIED,include,,True,FDA,248,507,248,233935,0.43089577555656433
PC_000006,FALSIFIED,include,,True,FDA,173,345,173,135566,0.4538440406322479
PC_000007,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,328,545,328,43833,0.8049740791320801
PC_000008,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,328,545,328,42050,0.8014233708381653
PC_000009,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,330,546,330,43975,0.8140972256660461
PC_000010,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,328,543,328,40949,0.8089330196380615
PC_000011,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,331,550,331,42040,0.8506733775138855
PC_000012,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,329,544,329,44115,0.8613542914390564
PC_000013,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,328,546,328,41502,0.8407871127128601
PC_000014,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,False,FDA,326,543,326,43261,0.847612202167511
PC_000015,AUTHENTIC,exclude,X_CLASS_TOO_SMALL,False,FDA,300,323,300,175865,0.7612247467041016
PC_000016,FALSIFIED,include,,True,FDA,440,735,440,906506,0.4241393506526947
PC_000017,FALSIFIED,include,,True,FDA,160,271,160,7939,0.44153454899787903
PC_000018,FALSIFIED,include,,True,FDA,168,272,168,120605,0.7437005043029785
PC_000019,FALSIFIED,include,,True,FDA,150,162,150,41114,0.8836336135864258
PC_000020,FALSIFIED,include,,True,WHO,580,327,327,72068,0.6606377959251404
PC_000021,FALSIFIED,include,,True,WHO,500,316,316,75206,0.5431056618690491
PC_000022,FALSIFIED,include,,True,WHO,293,550,293,18235,0.6147748827934265
PC_000023,FALSIFIED,include,,True,WHO,380,618,380,45251,0.744072675704956
PC_000024,FALSIFIED,include,,True,WHO,370,559,370,41978,0.5589352250099182
PC_000025,FALSIFIED,include,,True,WHO,465,506,465,46963,0.4167289435863495
PC_000026,FALSIFIED,include,,True,WHO,427,478,427,34796,0.6650428771972656
PC_000027,FALSIFIED,include,,True,WHO,479,596,479,56603,0.5797820091247559
PC_000028,FALSIFIED,include,,True,WHO,459,298,298,28968,0.4409709870815277
PC_000029,FALSIFIED,include,,True,WHO,2053,1118,1118,656560,0.5824049711227417
PC_000030,FALSIFIED,include,,True,WHO,961,258,258,70303,0.5913922190666199
PC_000031,FALSIFIED,include,,True,WHO,340,453,340,14916,0.35289299488067627
PC_000032,FALSIFIED,include,,True,WHO,300,400,300,16176,0.6339961886405945
PC_000033,UNVERIFIED,exclude,X_MIXED_CLASS,False,FDA,1396,742,742,2189868,0.46745336055755615
PC_000034,UNVERIFIED,exclude,X_ANNOTATED,False,FDA,2157,1194,1194,4418316,0.38647398352622986
PC_000035,UNVERIFIED,exclude,X_ANNOTATED,False,FDA,452,255,255,180970,0.45823314785957336
PC_000036,UNVERIFIED,exclude,X_MIXED_CLASS,False,FDA,565,325,325,40838,0.7495624423027039
PC_000037,UNVERIFIED,exclude,X_MIXED_CLASS,False,FDA,562,580,562,83658,0.800800085067749
PC_000038,UNVERIFIED,exclude,X_LABEL_UNVERIFIED,False,FDA,371,274,274,237375,0.3921358287334442
PC_000039,UNVERIFIED,exclude,X_LABEL_UNVERIFIED,False,FDA,480,667,480,340617,0.6255294680595398
PC_000040,UNVERIFIED,exclude,X_LABEL_UNVERIFIED,False,FDA,480,722,480,469111,0.664451539516449
PC_000041,FALSIFIED,include,,True,WHO,705,447,447,41519,0.7476906776428223
PC_000042,FALSIFIED,include,,True,WHO,642,417,417,37876,0.6874540448188782
PC_000043,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,506,535,506,54793,0.7268838882446289
PC_000044,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,516,508,508,42132,0.847139835357666
PC_000045,FALSIFIED,include,,True,WHO,1307,500,500,86334,0.6744861602783203
PC_000046,FALSIFIED,include,,True,WHO,928,696,696,114767,0.6910797953605652
PC_000047,FALSIFIED,include,,True,WHO,1040,780,780,55310,0.6860389709472656
PC_000048,UNVERIFIED,exclude,X_TEXT_ONLY,False,WHO,580,160,160,28531,0.9010052680969238
PC_000049,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,646,797,646,102355,0.7398223876953125
PC_000050,UNVERIFIED,exclude,X_TEXT_ONLY,False,WHO,1140,314,314,43865,0.8924399018287659
PC_000051,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,537,772,537,93699,0.6900997161865234
PC_000052,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,508,396,396,42053,0.6038491129875183
PC_000053,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,513,325,325,26617,0.7529214024543762
PC_000054,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,734,724,724,82407,0.7833763957023621
PC_000055,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,1192,1250,1192,103031,0.8979679942131042
PC_000056,FALSIFIED,include,,True,WHO,514,157,157,219245,0.3937589228153229
PC_000057,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,612,460,460,591995,0.6264888644218445
