image_id,orig_relpath,class_label,flag,notes,ai_suggested_flag
kaggle_fake_real_medicine_00025,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175235.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00026,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175301.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00027,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175322.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00028,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175354.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00029,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175453.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00030,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175509.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00031,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175527.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00032,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175545.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00033,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175617.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00034,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175723.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00035,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175736.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00036,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175749.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00037,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175833.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00038,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175847.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00039,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175938.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00040,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175957.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00041,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180036.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00042,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180052.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00043,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180106.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00044,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180119.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00045,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180132.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00046,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180146.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00047,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180157.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00048,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180208.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00049,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180223.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00050,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180304.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00051,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180322.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00052,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180440.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00053,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180452.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00054,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180506.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00055,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180548.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00056,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180616.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00057,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180631.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00058,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180704.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00059,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180714.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00060,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180738.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00061,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180755.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00062,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180820.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00063,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180831.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00064,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180900.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00065,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180914.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00066,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181023.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00067,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181033.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00068,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181046.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00069,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181100.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00070,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181154.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00071,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181208.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00072,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181249.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00073,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181305.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00074,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181320.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00075,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181403.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00076,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181623.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00077,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181642.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00078,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181712.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00079,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181729.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00080,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181739.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00081,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181806.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00082,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181821.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00083,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181900.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00084,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181918.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00085,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181935.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00086,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181949.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00087,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182524.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00088,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182551.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00089,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182616.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00090,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182631.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00091,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182646.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00092,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182721.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00093,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182741.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00094,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182752.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00095,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182825.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00096,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182845.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00097,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182902.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00098,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182916.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00099,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182939.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00100,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182951.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00101,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183005.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00102,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183015.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00103,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183039.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00104,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183148.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00105,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183214.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00106,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183232.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00107,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183249.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00108,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183304.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00109,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183339.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00110,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183358.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00111,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183420.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00112,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183436.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00113,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183451.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00114,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183521.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00115,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183535.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00116,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183651.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00117,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183703.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00118,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183719.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00119,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183734.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00120,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183746.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00121,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183814.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00122,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183824.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00123,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183838.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00124,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183849.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00125,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183919.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00126,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183931.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00127,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 183954.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00128,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184040.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00129,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184051.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00130,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184104.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00131,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184149.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00132,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184219.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00133,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184308.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00134,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184323.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00135,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184353.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00136,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184403.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00137,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184438.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00138,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184449.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00139,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184523.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00140,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184536.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00141,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184607.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00142,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184622.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00143,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184635.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00144,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184649.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00145,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184702.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00146,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184728.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00147,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184740.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00148,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184809.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00149,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184818.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00150,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184830.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00151,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184843.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00152,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184936.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00153,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184945.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00154,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 184957.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00155,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 185007.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00156,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 185018.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00157,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 185753.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00158,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 190839.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00159,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 190900.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00160,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 190918.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00161,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 190932.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00162,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 190943.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00163,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 190956.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00164,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191148.png",counterfeit,clean,"",unsure
kaggle_fake_real_medicine_00165,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191200.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00166,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191223.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00167,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191251.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00168,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191308.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00169,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191346.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00170,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191358.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00171,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191737.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00172,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191750.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00173,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191818.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00174,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191833.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00175,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191903.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00176,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191920.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00177,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191940.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00178,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 191959.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00179,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192042.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00180,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192053.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00181,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192129.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00182,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192142.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00183,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192244.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00184,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192306.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00185,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192318.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00186,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192328.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00187,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192426.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00188,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192445.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00189,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192504.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00190,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192515.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00191,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192525.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00192,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192555.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00193,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192605.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00194,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192628.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00195,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192641.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00196,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192708.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00197,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192722.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00198,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192735.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00199,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 192750.png",counterfeit,clean,"",
