candidate_id,sheet,cell,commons_title,decision,exclusion_code,reason
BA_000049,sheet_01,r4c4,"File:2018.11.20 Meningococcal and HPV Vaccines, Washington, DC USA 4269 (45072537995).jpg",,,
BA_000050,sheet_01,r4c5,"File:2018.11.20 Meningococcal and HPV Vaccines, Washington, DC USA 4270 (45260286484).jpg",,,
BA_000053,sheet_01,r5c0,"File:2018.11.20 Meningococcal and HPV Vaccines, Washington, DC USA 4275 (32113493668).jpg",,,
BA_000054,sheet_01,r5c1,File:2019-08-08 Oral-Turinabol tablets.jpg,,,
BA_000055,sheet_01,r5c2,File:20190311 庆大霉素、参苓健脾胃.jpg,,,
BA_000056,sheet_01,r5c3,File:20190311 庆大霉素反面.jpg,,,
BA_000057,sheet_01,r5c4,File:20190311 阿莫西林胶囊.jpg,,,
BA_000058,sheet_01,r5c5,File:2020-05-20 Levocetirizine Hydrochloride レボセチリジン塩酸塩錠 ザイザル.jpg,,,
BA_000059,sheet_02,r0c0,File:2020-05-20 d-Chlorpheniramine Maleate d-クロルフェニラミンマレイン酸塩製剤(ポララミン).jpg,,,
BA_000060,sheet_02,r0c1,File:2020-06-15 TSU128、OHNES ST オーネス ST 配合錠.jpg,,,
BA_000061,sheet_02,r0c2,File:2020-06-18 越婢加朮湯（エッピカジュツトウ）.jpg,,,
BA_000063,sheet_02,r0c3,File:2020-07-10 Anchu-san 安中散（コタロー安中散エキスカプセル）DSCF1998.jpg,,,
BA_000064,sheet_02,r0c4,File:2020-07-10 Anchu-san 安中散（コタロー安中散エキスカプセル）DSCF2001.jpg,,,
BA_000068,sheet_02,r0c5,File:2025-01-04 Betahistine（ベタヒスチン） DSCF5667.jpg,,,
BA_000069,sheet_02,r1c0,File:2025-01-04 Betahistine（ベタヒスチン）DSCF5669.jpg,,,
BA_000071,sheet_02,r1c1,"File:3 boites de lorazépam 2,5.jpg",,,
BA_000072,sheet_02,r1c2,File:30mg Vyvanse capsules.JPG,,,
BA_000080,sheet_02,r1c3,File:50mgtramadolhclakyma.jpg,,,
BA_000082,sheet_02,r1c4,"File:6 boites de normison 7 + 1 boite de Victan + 1 boite de nordaz 7,5.jpg",,,
BA_000090,sheet_02,r1c5,File:A Sight For Sore Heads - Flickr - Bonio.jpg,,,
BA_000099,sheet_02,r2c0,File:A blister pack of Androcur 50mg tablets in Turkey (obverse).jpg,,,
BA_000100,sheet_02,r2c1,File:A blister pack of Androcur 50mg tablets in Turkey (reverse).jpg,,,
BA_000102,sheet_02,r2c2,File:A bottle of Valerian capsules.jpg,,,
BA_000103,sheet_02,r2c3,File:A bottle of a generic version of Truvada.jpg,,,
BA_000104,sheet_02,r2c4,File:A chemist gives a demonstration involving arsenic Wellcome V0011761.jpg,,,
BA_000107,sheet_02,r2c5,File:A convalescing woman trying in vain to rouse her slumbering Wellcome V0011149.jpg,,,
BA_000109,sheet_02,r3c0,"File:A decrepit man screaming in pain from gout, rheumatism and c Wellcome V0011163.jpg",,,
BA_000110,sheet_02,r3c1,"File:A disgruntled gouty man with all limbs bandaged, a table cov Wellcome V0011165.jpg",,,
BA_000111,sheet_02,r3c2,File:A disgruntled ill man taking a large dose of medicine. Colou Wellcome V0011161.jpg,,,
BA_000113,sheet_02,r3c3,File:A doctor kicking his rival out Wellcome L0008691.jpg,,,
BA_000115,sheet_02,r3c4,File:A doctor visiting a patient whose wife queries the dose. Woo Wellcome V0011463.jpg,,,
BA_000116,sheet_02,r3c5,File:A grimacing invalid seated before a bowl Wellcome V0011191.jpg,,,
BA_000117,sheet_02,r4c0,File:A grimacing invalid seated before a bowl having received an Wellcome V0011187.jpg,,,
BA_000118,sheet_02,r4c1,File:A grimacing invalid seated before a bowl having received an Wellcome V0011188.jpg,,,
BA_000119,sheet_02,r4c2,File:A grimacing invalid seated before a bowl having received an Wellcome V0011189.jpg,,,
BA_000120,sheet_02,r4c3,File:A grimacing invalid seated before a bowl having received an Wellcome V0011190EL.jpg,,,
BA_000121,sheet_02,r4c4,File:A grimacing invalid seated before a bowl having received an Wellcome V0011191EL.jpg,,,
BA_000152,sheet_02,r4c5,File:A summary of the role of uterine natural killer (uNK) cells on the events entailed in successful embryo implantation and maintenance of a pregnancy.png,,,
BA_000154,sheet_02,r5c0,File:A vial of Moderna COVID-19 vaccine 201229-F-ZB805-0008Y.jpg,,,
BA_000156,sheet_02,r5c1,File:A-DATA 2 x 2GB DDR2 IMG 1775.jpg,,,
BA_000159,sheet_02,r5c2,File:AC USB adapters jeh.JPG,,,
BA_000163,sheet_02,r5c3,File:AMALAR.jpg,,,
BA_000164,sheet_02,r5c4,File:AN-APS-3 PV-2 NAN4-46.jpg,,,
BA_000165,sheet_02,r5c5,File:ARRIERE.jpg,,,
BA_000168,sheet_03,r0c0,File:AX 1909.JPG,,,
BA_000169,sheet_03,r0c1,File:AX GTi ar.jpg,,,
BA_000170,sheet_03,r0c2,File:AX GTi av.jpg,,,
BA_000171,sheet_03,r0c3,File:AX Sport ar.jpg,,,
BA_000172,sheet_03,r0c4,File:AX Sport av.jpg,,,
BA_000180,sheet_03,r0c5,"File:Account of expenses for construction of Tholos, AM of Epidaruos, 202577.jpg",,,
BA_000181,sheet_03,r1c0,"File:Account of expenses for construction of Tholos, AM of Epidaruos, 202578.jpg",,,
BA_000185,sheet_03,r1c1,File:Acetylcystein as effervescent tablet branded ACC by Sandoz.jpg,,,
BA_000221,sheet_03,r1c2,"File:Airbus A320-251N (c-n 7576, TF-PPD) 2024-10-11 Andre Gerwing Collection ID 022199.jpg",,,
BA_000233,sheet_03,r1c3,File:Alinamin A.jpg,,,
BA_000234,sheet_03,r1c4,File:Alka Seltzer (27862968001).jpg,,,
BA_000235,sheet_03,r1c5,File:Alka Seltzer Energy Boost tablet.jpg,,,
BA_000238,sheet_03,r2c0,File:Alka-Seltzer Plus Cold and Cough Pill (5788678904).jpg,,,
BA_000243,sheet_03,r2c1,File:Alka-Seltzer dissolving progression 3 - sinking 2.jpg,,,
BA_000274,sheet_03,r2c2,File:Alkaline AA batteries.jpg,,,
BA_000275,sheet_03,r2c3,File:AllegraFX.jpg,,,
BA_000279,sheet_03,r2c4,File:Allergic exanthema amoxicillin.jpg,,,
BA_000282,sheet_03,r2c5,File:Alnagon - Spofa - krabička a blistr.JPG,,,
BA_000284,sheet_03,r3c0,File:Alnagon - Spofa.JPG,,,
BA_000290,sheet_03,r3c1,"File:Alprazolam orally disintegrating tablets, blister packs.jpg",,,
BA_000298,sheet_03,r3c2,File:American journal of pharmacy (1829) (14596396880).jpg,,,
BA_000313,sheet_03,r3c3,File:Amoksicilin 500 091208.jpg,,,
BA_000314,sheet_03,r3c4,File:Amoksiklav.jpg,,,
BA_000315,sheet_03,r3c5,File:Amoxi-drops and amoxi-tabs.jpg,,,
BA_000318,sheet_03,r4c0,File:Amoxicillin 500mg capsules on a plate (Sandoz).jpg,,,
BA_000321,sheet_03,r4c1,File:Amoxicillin pill.jpg,,,
BA_000322,sheet_03,r4c2,File:Amoxicillin rash 11 hours after 17th dose.JPG,,,
BA_000323,sheet_03,r4c3,File:Amoxicillin rash 26 hours after 17th dose.JPG,,,
BA_000324,sheet_03,r4c4,File:Amoxicillin rash 3 hours after 17th dose.JPG,,,
BA_000325,sheet_03,r4c5,File:Amoxicillin substance photo.jpg,,,
BA_000333,sheet_03,r5c0,File:Amoxicilline Mylan 1g.jpg,,,
BA_000335,sheet_03,r5c1,File:Amoxiclav Sandoz Mylan.JPG,,,
BA_000336,sheet_03,r5c2,File:Amoxin.jpg,,,
BA_000338,sheet_03,r5c3,File:Ampoule prefilled JPN.jpg,,,
BA_000339,sheet_03,r5c4,"File:An Angolan women holds a box of Coartem, an anti-malarial drug.jpg",,,
BA_000352,sheet_03,r5c5,File:Anesthesia medications.JPG,,,
BA_000355,sheet_04,r0c0,File:Anna Pabst 1896-1935 (30794405487).jpg,,,
BA_000360,sheet_04,r0c1,"File:Anterone (cyproterone acetate) tablets in Australia, with three blister packs.jpg",,,
BA_000361,sheet_04,r0c2,"File:Anterone (cyproterone acetate) tablets in Australia, with two obverse and one reverse blister packs.jpg",,,
BA_000364,sheet_04,r0c3,File:Antibiotic pills.jpg,,,
BA_000436,sheet_04,r0c4,File:Assorted pharmaceuticals by LadyofProcrastination.jpg,,,
BA_000437,sheet_04,r0c5,File:Astamocil.jpg,,,
BA_000438,sheet_04,r1c0,File:Astra Zeneca COVID-19 vaccines in package.jpg,,,
BA_000441,sheet_04,r1c1,File:AstraZeneca COVID-19 vaccine vials (4ml).jpg,,,
BA_000442,sheet_04,r1c2,File:AstraZeneca Oxford University COVID-19 Vaccine 4ml vials.jpg,,,
BA_000457,sheet_04,r1c3,File:Automated Postal Center and new Priority Mail box display (5115759015).jpg,,,
BA_000466,sheet_04,r1c4,File:Ax-les-Thermes - 53230478005.jpg,,,
BA_000467,sheet_04,r1c5,File:Ax-les-Thermes - panoramio.jpg,,,
BA_000468,sheet_04,r2c0,File:Ax-les-Thermes Mairie.jpg,,,
BA_000470,sheet_04,r2c1,File:Ax-les-Thermes.jpg,,,
BA_000518,sheet_04,r2c2,"File:Bangkok Airways, HS-PPD, Airbus A320-232 (40696867833).jpg",,,
BA_000522,sheet_04,r2c3,File:Barros inaugura linha de produção da vacina de febre amarela (26025962128).jpg,,,
BA_000523,sheet_04,r2c4,File:Barros inaugura linha de produção da vacina de febre amarela (26025964458).jpg,,,
BA_000524,sheet_04,r2c5,File:Barros inaugura linha de produção da vacina de febre amarela (28118409009).jpg,,,
BA_000525,sheet_04,r3c0,File:Barros inaugura linha de produção da vacina de febre amarela (28118410229).jpg,,,
BA_000526,sheet_04,r3c1,File:Barros inaugura linha de produção da vacina de febre amarela (28118412859).jpg,,,
BA_000527,sheet_04,r3c2,File:Barros inaugura linha de produção da vacina de febre amarela (39899292221).jpg,,,
BA_000529,sheet_04,r3c3,File:Bayer Aspirin and store-brand generic on Canadian drugstore shelf.jpg,,,
BA_000553,sheet_04,r3c4,File:Bimmuge-Hepatitis B Vaccines.jpg,,,
BA_000554,sheet_04,r3c5,File:Bio Threats- FDA's A-Team (6304) (9806908675).jpg,,,
BA_000555,sheet_04,r4c0,File:Bio Threats- FDA's A-Team (6306) (9806933446).jpg,,,
BA_000556,sheet_04,r4c1,File:Bio Threats- FDA's A-Team (6309) (9806913284).jpg,,,
BA_000560,sheet_04,r4c2,File:BioNTech COVID-19 Vaccine.jpg,,,
BA_000569,sheet_04,r4c3,File:Blister 1 (fcm).jpg,,,
BA_000570,sheet_04,r4c4,File:Blister 2 (fcm).jpg,,,
BA_000571,sheet_04,r4c5,File:Blister 3 (fcm).jpg,,,
BA_000598,sheet_04,r5c0,File:Boston register and business directory (1922) (14580853977).jpg,,,
BA_000604,sheet_04,r5c1,"File:Bottle of 'Camoquin' tablets, England, 1947-1960 Wellcome L0058545.jpg",,,
BA_000611,sheet_04,r5c2,"File:Bottle of Super-D oil capsules, London, England, 1940-1945 Wellcome L0057855.jpg",,,
BA_000616,sheet_04,r5c3,"File:Bottle of quinine hydrochloride tablets, London, England, 19 Wellcome L0058217.jpg",,,
BA_000617,sheet_04,r5c4,"File:Bottle of tetanus antitoxin, Germany. Full view, graduated g Wellcome L0058962 (cropped).jpg",,,
BA_000618,sheet_04,r5c5,"File:Bottle of tetanus antitoxin, Germany. Full view, graduated g Wellcome L0058962.jpg",,,
BA_000638,sheet_05,r0c0,"File:Bottle, medical (AM 1962.96-1).jpg",,,
BA_000639,sheet_05,r0c1,"File:Bottle, medical (AM 1962.96-10).jpg",,,
BA_000640,sheet_05,r0c2,"File:Bottle, medical (AM 1962.96-2).jpg",,,
BA_000641,sheet_05,r0c3,"File:Bottle, medical (AM 1962.96-3).jpg",,,
BA_000642,sheet_05,r0c4,"File:Bottle, medical (AM 1962.96-4).jpg",,,
BA_000644,sheet_05,r0c5,"File:Bottle, medical (AM 1962.96-6).jpg",,,
BA_000645,sheet_05,r1c0,"File:Bottle, medical (AM 1962.96-7).jpg",,,
BA_000646,sheet_05,r1c1,"File:Bottle, medical (AM 1962.96-8).jpg",,,
BA_000647,sheet_05,r1c2,"File:Bottle, medical (AM 1962.96-9).jpg",,,
BA_000651,sheet_05,r1c3,"File:Bottle, medicine (AM 604099-1).jpg",,,
BA_000653,sheet_05,r1c4,"File:Bottle, medicine (AM 604099-3).jpg",,,
BA_000666,sheet_05,r1c5,"File:Boundary stone (horos) of Athena in Ag. Dionysios at Palechora, Aigina - IGIV(2)794 = IGI3 1488 (bottom).jpg",,,
BA_000667,sheet_05,r2c0,"File:Boundary stone (horos) of Athena in Ag. Dionysios at Palechora, Aigina - IGIV(2)794 = IGI3 1488 (full view).jpg",,,
BA_000668,sheet_05,r2c1,"File:Boundary stone (horos) of Athena in Ag. Dionysios at Palechora, Aigina - IGIV(2)794 = IGI3 1488 (middle).jpg",,,
BA_000669,sheet_05,r2c2,"File:Boundary stone (horos) of Athena in Ag. Dionysios at Palechora, Aigina - IGIV(2)794 = IGI3 1488 (top).jpg",,,
BA_000731,sheet_05,r2c3,File:Btx-Museum 1 mupid Btx-Decoder C2D mit Tastatur C2D-Keyboard 07.jpg,,,
BA_000732,sheet_05,r2c4,File:Btx-Museum 1 mupid Btx-Decoder C2D mit Tastatur C2D-Keyboard 11.jpg,,,
BA_000733,sheet_05,r2c5,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 01 (cropped).jpg,,,
BA_000734,sheet_05,r3c0,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 01.jpg,,,
BA_000735,sheet_05,r3c1,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 02.jpg,,,
BA_000736,sheet_05,r3c2,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 03.jpg,,,
BA_000737,sheet_05,r3c3,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 04.jpg,,,
BA_000738,sheet_05,r3c4,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 07.jpg,,,
BA_000739,sheet_05,r3c5,File:Btx-Museum 19 Blaupunkt Btx-Decoder DC 36 08.jpg,,,
BA_000741,sheet_05,r4c0,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 01.jpg,,,
BA_000742,sheet_05,r4c1,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 02.jpg,,,
BA_000743,sheet_05,r4c2,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 03.jpg,,,
BA_000744,sheet_05,r4c3,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 04.jpg,,,
BA_000745,sheet_05,r4c4,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 05.jpg,,,
BA_000746,sheet_05,r4c5,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 06.jpg,,,
BA_000747,sheet_05,r5c0,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 07.jpg,,,
BA_000748,sheet_05,r5c1,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 08.jpg,,,
BA_000749,sheet_05,r5c2,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 09.jpg,,,
BA_000750,sheet_05,r5c3,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 10.jpg,,,
BA_000751,sheet_05,r5c4,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 11.jpg,,,
BA_000752,sheet_05,r5c5,File:Btx-Museum 20-1+2 Nordmende Btx-Decoder BTX DC 1000-1 mit Infrarot-Fernbedienung BTX KP 1000 12.jpg,,,
BA_000804,sheet_06,r0c0,File:CBP at JFK Seizes Cocaine in Beef Patties (32380740861).jpg,,,
BA_000814,sheet_06,r0c1,File:COVID 19 box 2024-25.jpg,,,
BA_000815,sheet_06,r0c2,File:COVID-19 AstraZeneca Vaccine vial and NHS record card.jpg,,,
BA_000816,sheet_06,r0c3,File:COVID-19 Vaccine vial and syringe - US Census.jpg,,,
BA_000817,sheet_06,r0c4,"File:COVID-19 vaccination center, fair grounds Cologne, 1st vaccination-8230.jpg",,,
BA_000819,sheet_06,r0c5,File:COVID-19 vaccine AstraZeneca Jan 2021 (vial).jpg,,,
BA_000820,sheet_06,r1c0,File:COVID-19 vaccine AstraZeneca Jan 2021.jpg,,,
BA_000823,sheet_06,r1c1,File:COVID-19 vaccine vial AstraZenaca 2021 (UK).jpg,,,
BA_000859,sheet_06,r1c2,"File:Carton of 'Purgen-The New Aperient' tablets, London, England Wellcome L0058220.jpg",,,
BA_000911,sheet_06,r1c3,File:Citroen AX 2023.jpg,,,
BA_000912,sheet_06,r1c4,File:Citroen AX white 1.JPG,,,
BA_000914,sheet_06,r1c5,File:Citroën AX First.jpg,,,
BA_000915,sheet_06,r2c0,File:Citroën AX Wikimedia1.jpg,,,
BA_000916,sheet_06,r2c1,File:Citroën AX Wikimedia2.jpg,,,
BA_000917,sheet_06,r2c2,File:Citroën AX Wikimedia3.jpg,,,
BA_000918,sheet_06,r2c3,File:Citroën AX half parked on grass.jpg,,,
BA_000930,sheet_06,r2c4,"File:Clear glass shop round for Quinine, England, 1801-1850 Wellcome L0058514.jpg",,,
BA_000955,sheet_06,r2c5,File:Combiart drug.jpg,,,
BA_000960,sheet_06,r3c0,File:Comirnaty (2021) D.jpg,,,
BA_000962,sheet_06,r3c1,File:Comirnaty Omicron XBB.1.5 vial and influenza vaccine 2023.jpg,,,
BA_000964,sheet_06,r3c2,File:Comirnaty Omicron XBB.1.5 vials 2023.jpg,,,
BA_000968,sheet_06,r3c3,File:Comirnaty.Phiole.unverduennt.P1127598.jpg,,,
BA_000971,sheet_06,r3c4,File:Computer immunoglobulin.jpg,,,
BA_000993,sheet_06,r3c5,File:Corminaty (2021) A.jpg,,,
BA_000995,sheet_06,r4c0,File:Corminaty (2021) C.jpg,,,
BA_000996,sheet_06,r4c1,File:Corona antibody test.jpg,,,
BA_001008,sheet_06,r4c2,File:Covishield (2021) A.jpg,,,
BA_001009,sheet_06,r4c3,File:Covishield (2021) B.jpg,,,
BA_001010,sheet_06,r4c4,File:Covishield (2021) C.jpg,,,
BA_001011,sheet_06,r4c5,File:Covishield (2021) D.jpg,,,
BA_001012,sheet_06,r5c0,File:Covishield (2021) E.jpg,,,
BA_001013,sheet_06,r5c1,File:Covishield (2021) F.jpg,,,
BA_001016,sheet_06,r5c2,File:Covishield (2021) I.jpg,,,
BA_001017,sheet_06,r5c3,File:Covishield (2021) J.jpg,,,
BA_001018,sheet_06,r5c4,File:Covishield (2021) K.jpg,,,
BA_001019,sheet_06,r5c5,File:Covishield (2021) L.jpg,,,
BA_001020,sheet_07,r0c0,File:Covishield (2021) M.jpg,,,
BA_001022,sheet_07,r0c1,File:Covishield (2021) N.jpg,,,
BA_001023,sheet_07,r0c2,File:Covishield (2021) O.jpg,,,
BA_001061,sheet_07,r0c3,File:Delivery of Covishield COVID-19 vaccine from India to Brazil (2021) C.jpg,,,
BA_001062,sheet_07,r0c4,File:Delivery of Covishield COVID-19 vaccine from India to Brazil (2021) D.jpg,,,
BA_001095,sheet_07,r0c5,File:Dextromethorphan Tablet-15.jpg,,,
BA_001098,sheet_07,r1c0,File:Dexzopiclone Tablets.jpg,,,
BA_001105,sheet_07,r1c1,File:Diazepam 10mg-2ml vials white background.jpg,,,
BA_001106,sheet_07,r1c2,File:Diazepam 10mg-2ml vials yellow background.jpg,,,
BA_001107,sheet_07,r1c3,File:Diazepam 10mg.jpg,,,
BA_001108,sheet_07,r1c4,File:Diazepam Ampulle ratiopharm 10 mg. 2 ml.JPG,,,
BA_001111,sheet_07,r1c5,File:Diazepam stock bottle 10mg tabs.jpg,,,
BA_001116,sheet_07,r2c0,"File:Diazepam, strips 10 mg (Valium).jpg",,,
BA_001120,sheet_07,r2c1,File:Diazepam.png,,,
BA_001121,sheet_07,r2c2,File:Diazepam2mgand5mgtablets.JPG,,,
BA_001160,sheet_07,r2c3,File:Dispensing pot for powdered quinine 4.jpg,,,
BA_001161,sheet_07,r2c4,"File:Dispensing pot for powdered quinine, Italy, 1801-1830 Wellcome L0057459.jpg",,,
BA_001193,sheet_07,r2c5,"File:Dr. Mae C. Jemison, First African-American Woman in Space - Flickr - NASA on The Commons.jpg",,,
BA_001195,sheet_07,r3c0,File:Drogues anesthésie.jpg,,,
BA_001218,sheet_07,r3c1,File:Dubyna 1901.jpg,,,
BA_001220,sheet_07,r3c2,File:Dukoral package inside.jpg,,,
BA_001222,sheet_07,r3c3,File:Dukoral package.jpg,,,
BA_001227,sheet_07,r3c4,File:Duphalac 200 ml.jpg,,,
BA_001232,sheet_07,r3c5,"File:Dülmen, Merfeld, Volvo PV 544 B18 -- 2021 -- 0075-9.jpg",,,
BA_001242,sheet_07,r4c0,File:Ebivol.jpg,,,
BA_001290,sheet_07,r4c1,File:Engerix B (Hepatitis B) vaccine.jpg,,,
BA_001318,sheet_07,r4c2,File:Etizest-1 MD Blister Pill opened.jpeg,,,
BA_001347,sheet_07,r4c3,File:Fake Viagara Pills (22399093799).jpg,,,
BA_001350,sheet_07,r4c4,File:Fara PV maks2009.jpg,,,
BA_001352,sheet_07,r4c5,File:Favipill 800 - Favipiravir Tablets 800 mg - Howrah 2023-05-15 9871.jpg,,,
BA_001356,sheet_07,r5c0,File:Fenobarbital receta.jpg,,,
BA_001357,sheet_07,r5c1,File:Fenobarbital.jpg,,,
BA_001383,sheet_07,r5c2,File:Flickr - Israel Defense Forces - Expired Medicine Unloaded Off Gaza Flotillas (1).jpg,,,
BA_001384,sheet_07,r5c3,File:Flickr - Israel Defense Forces - Expired Medicine Unloaded Off Gaza Flotillas (2).jpg,,,
BA_001386,sheet_07,r5c4,File:Flickr - Israel Defense Forces - Expired Medicine Unloaded Off Gaza Flotillas (4).jpg,,,
BA_001395,sheet_07,r5c5,File:Fluothane packaging 01.jpg,,,
BA_001404,sheet_08,r0c0,File:Forxiga dapagliflozin.jpg,,,
BA_001427,sheet_08,r0c1,File:GER — BY — München — Dokumentation Drei Impfungen gegen COVID-19 Anno 2021 Mattes.jpg,,,
BA_001431,sheet_08,r0c2,File:GT-Oxycodon-Sicherheitsblister.jpg,,,
BA_001438,sheet_08,r0c3,File:Gardenal.JPG,,,
BA_001462,sheet_08,r0c4,"File:Glass pharmacy jar for powdered quinine, Europe, 1601-1700 Wellcome L0057596.jpg",,,
BA_001490,sheet_08,r0c5,File:HK 葵青區 Kwai Tsing MTR 青衣站 Tsing Yi Station stand up banners directory signs April 2022 Px3 01.jpg,,,
BA_001491,sheet_08,r1c0,File:HS-PPD (12627852323).jpg,,,
BA_001492,sheet_08,r1c1,File:HS-PPD (21411688723).jpg,,,
BA_001493,sheet_08,r1c2,File:HS-PPD (8876680741).jpg,,,
BA_001513,sheet_08,r1c3,File:Health Minister Zahid Maleque administering Vitamin A Plus capsule to child during campaign Dhaka Shishu Hospital 2019-06-22 (PID-0038147).jpg,,,
BA_001514,sheet_08,r1c4,"File:Health and Family Welfare Minister Zahid Maleque receiving Remdesivir, 2020-05-21 (PID-0033428).jpg",,,
BA_001523,sheet_08,r1c5,File:Hepatitis-B virions.jpg,,,
BA_001533,sheet_08,r2c0,File:Hib for infanrix hexa.jpg,,,
BA_001559,sheet_08,r2c1,"File:Hypodermic syringe set, for quinine injection, with Record s Wellcome L0057254.jpg",,,
BA_001616,sheet_08,r2c2,File:IMAG0466.jpg,,,
BA_001639,sheet_08,r2c3,File:Ilaç dolu sepet.jpg,,,
BA_001665,sheet_08,r2c4,File:Infanrix hexa vaccine.jpg,,,
BA_001676,sheet_08,r2c5,File:Inicio de la vacunación contra la COVID-19 en Costa Rica usando la dosis de AstraZeneca 02.jpg,,,
BA_001677,sheet_08,r3c0,File:Inicio de la vacunación contra la COVID-19 en Costa Rica usando la dosis de AstraZeneca 03.jpg,,,
BA_001678,sheet_08,r3c1,File:Inicio de la vacunación contra la COVID-19 en Costa Rica usando la dosis de AstraZeneca 04.jpg,,,
BA_001679,sheet_08,r3c2,File:Inicio de la vacunación contra la COVID-19 en Costa Rica usando la dosis de AstraZeneca 05.jpg,,,
BA_001683,sheet_08,r3c3,File:Integrated PV rooftop Alphen aan den Rijn Netherlands.jpg,,,
