image_id,manifest_label,decision,exclusion_code,panel_composite,label_crop,reviewer,review_date,reason
PC_000034,UNVERIFIED,exclude,X_ANNOTATED,yes,no,claude_first_pass,2026-09-07,Label crops with red and yellow ellipses drawn on by the regulator; the markup is a class-specific artifact absent from every authentic image.
PC_000035,UNVERIFIED,exclude,X_ANNOTATED,no,yes,claude_first_pass,2026-09-07,Label crop with regulator markup drawn on.
PC_000036,UNVERIFIED,exclude,X_MIXED_CLASS,yes,no,claude_first_pass,2026-09-07,"Two-panel figure captioned ""Authentic Ozempic Needle | Counterfeit Needle""; both classes in one frame."
PC_000037,UNVERIFIED,exclude,X_MIXED_CLASS,yes,no,claude_first_pass,2026-09-07,Comparison figure with both classes and a burned-in bulleted key.
PC_000038,UNVERIFIED,exclude,X_LABEL_UNVERIFIED,no,no,claude_first_pass,2026-09-07,Manifest label is UNVERIFIED; the FDA alert is a consumer alert about a dietary supplement rather than a falsified-medicine determination.
PC_000039,UNVERIFIED,exclude,X_LABEL_UNVERIFIED,no,no,claude_first_pass,2026-09-07,Manifest label is UNVERIFIED; dietary supplement rather than a medicine.
PC_000040,UNVERIFIED,exclude,X_LABEL_UNVERIFIED,no,no,claude_first_pass,2026-09-07,Manifest label is UNVERIFIED; dietary supplement rather than a medicine.
PC_000041,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,Three-panel montage of falsified bottles; photographic and same class; no burned-in caption.
PC_000042,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,Three-panel montage of falsified bottles; no burned-in caption.
PC_000043,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,"Carries the burned-in banner ""PHOTOGRAPHS OF CONFIRMED FALSIFIED ICLUSIG PRODUCTS""; the banner is rendered text present only in the falsified class and is a trivially learnable cue."
PC_000044,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,Burned-in numbered caption identifying the product as falsified.
PC_000045,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,Two-panel montage of a falsified test kit; no burned-in caption.
PC_000046,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified test-kit carton.
PC_000047,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified test-kit pouch.
PC_000048,UNVERIFIED,exclude,X_TEXT_ONLY,no,no,claude_first_pass,2026-09-07,Rendered data table of product name/lot/expiry; no product depicted.
PC_000049,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,Burned-in banner declaring the products falsified.
PC_000050,UNVERIFIED,exclude,X_TEXT_ONLY,no,no,claude_first_pass,2026-09-07,Rendered data table; no product depicted.
PC_000051,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,Burned-in banner declaring the products falsified.
PC_000052,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,Burned-in banner declaring the products falsified.
PC_000053,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,Burned-in caption declaring the products falsified.
PC_000054,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,Burned-in banner declaring the products falsified.
PC_000055,FALSIFIED,exclude,X_NOT_PRODUCT,no,no,claude_first_pass,2026-09-07,The World Health Organization corporate logo. Labeled FALSIFIED in the manifest. No medical product is depicted; this is a manifest labeling error rather than a borderline call.
PC_000056,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,Three-panel montage of a falsified vial held in hand; no burned-in caption.
PC_000057,FALSIFIED,exclude,X_BANNER_COMPOSITE,yes,no,claude_first_pass,2026-09-07,"Burned-in caption ""COVISHIELD falsificado, Lote 4121Z940""."
